gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
B3gat2,0.9472072,1.0,0.5215802,0.9472072,0.2866977606588585,1.5176141,0.9472072,0.5861451047958012,1.2138146,0.0031925617
Smap1,0.69655246,8.42122952955387e-15,8.276832,0.69655246,1.115821991855458e-20,10.145458,0.69655246,9.718451666695335e-11,7.2019053,0.01578684
Sdhaf4,0.5057463,1.8154308065447463e-05,4.890026,0.5057463,6.43966363431656e-05,4.540276,0.5057463,0.006372948497323278,3.452417,0.029259538
Fam135a,-18.830006,1.0,-0.038234524,-18.830006,0.32018866741859076,-1.4404209,-18.830006,0.8732229197908623,-0.5729323,-0.00015529111
Col9a1,,,,,,,,,,
Col19a1,,,,,,,,,,
Lmbrd1,0.3838442,0.04768057487044475,2.638725,0.3838442,0.05790648778751799,2.4183195,0.3838442,0.28217405893374564,1.8092415,0.010409622
Adgrb3,,,,,,,,,,
4931408C20Rik,,,,,,,,,,
Gm597,,,,,,,,,,
Phf3,0.07832153,0.716030238859958,1.0934051,0.07832153,0.49289021214161516,1.0493228,0.07832153,0.8175568325180691,0.73373926,0.009171969
Ptp4a1,0.27014893,1.0,0.033539057,0.27014893,0.9441033460583872,0.20158216,0.27014893,0.9895905550808171,0.1578337,0.0012777485
Ptp4a1,0.27014893,1.0,0.033539057,0.27014893,0.9441033460583872,0.20158216,0.27014893,0.9895905550808171,0.1578337,0.0012777485
Gm5698,,,,,,,,,,
4931428L18Rik,,,,,,,,,,
Lgsn,,,,,,,,,,
Pih1d3,,,,,,,,,,
Khdrbs2,,,,,,,,,,
Gm5415,,,,,,,,,,
Prim2,-0.8408696,0.028392790404729813,-2.8476894,-0.8408696,2.3493109539229702e-06,-5.2550516,-0.8408696,0.005461421173858045,-3.5025494,-0.03460041
Rab23,-0.0995595,1.0,0.23212221,-0.0995595,0.8609894188451069,-0.34417918,-0.0995595,0.9523394876027561,-0.24008541,-0.011682151
Bag2,0.8163783,0.28365076616931817,1.7722037,0.8163783,0.012119142637815295,3.0341654,0.8163783,0.0817734691641969,2.4671094,-0.01196429
Zfp451,0.09550951,0.24817239107810488,1.8515475,0.09550951,0.6557093024743893,0.6998595,0.09550951,0.8807279313241815,0.50141275,0.021967158
Bend6,1.2942078,1.0,0.16520381,1.2942078,0.5554037257411927,0.88080394,1.2942078,0.8203754199775792,0.7272299,0.00086914824
Dst,1.7092139,1.0,0.60070044,1.7092139,0.11556025958708116,2.0815663,1.7092139,0.2885364728184915,1.7967365,0.0013596284
Ccdc115,0.04226305,0.5865636202263416,1.2659875,0.04226305,0.8514024331740206,0.36021388,0.04226305,0.9425962937320387,0.26130056,0.0044612666
Imp4,0.13282941,0.25962916196457614,1.8252593,0.13282941,0.36310649063858047,1.3280708,0.13282941,0.7077690358123009,0.9741008,0.00041423505
Ptpn18,-0.06344119,0.21321456996189161,-1.9376311,-0.06344119,0.3383111601107747,-1.3887495,-0.06344119,0.7222390240246953,-0.9459889,0.006802722
Prss39,-18.928564,1.0,-0.025489682,-18.928564,0.37747578067892856,-1.2935786,-18.928564,0.8807279313241815,-0.5145253,-7.891334e-05
Cfc1,,,,,,,,,,
Prss40,,,,,,,,,,
Amer3,,,,,,,,,,
Arhgef4,-0.015564198,1.0,0.52608407,-0.015564198,1.0,-0.040663477,-0.015564198,1.0,-0.02750431,0.0034472225
Arhgef4,-0.015564198,1.0,0.52608407,-0.015564198,1.0,-0.040663477,-0.015564198,1.0,-0.02750431,0.0034472225
Fam168b,0.020092286,0.3382663071286618,1.6646551,0.020092286,0.9489384600527552,0.19235876,0.020092286,0.9984904236325524,0.13513736,0.006646001
Plekhb2,0.5782561,2.4297543021628858e-06,5.3058147,0.5782561,8.663430497379278e-06,4.993649,0.5782561,0.0020014436722505056,3.807076,0.016750388
Hs6st1,-0.08461565,1.0,0.39764544,-0.08461565,0.913288975067114,-0.2542461,-0.08461565,0.9827757509620911,-0.17375644,-0.00026100196
Uggt1,0.03635891,0.4430736712426634,1.4820429,0.03635891,0.8801669260580357,0.31172943,0.03635891,0.9601274084128982,0.22170211,0.008555296
Neurl3,-0.4391074,1.0,-0.47088835,-0.4391074,0.016022146895920138,-2.9297764,-0.4391074,0.22098062598526208,-1.9617703,-0.0067934496
Arid5a,0.5385578,1.760172656967548e-05,4.8970857,0.5385578,0.00018238565997395097,4.2798886,0.5385578,0.011946419768812592,3.2414181,0.007906749
Kansl3,0.25380647,0.1378441639491048,2.168284,0.25380647,0.19406828704282872,1.7827743,0.25380647,0.5216099111827722,1.3314117,-0.0057280553
Fer1l5,,,,,,,,,,
Lman2l,0.045779325,0.8689452951374567,0.8952053,0.045779325,0.9472843968971165,0.19533071,0.045779325,0.9975783971411324,0.13755089,-0.006562842
Cnnm4,0.019528313,1.0,-0.27348703,0.019528313,1.0,0.065335445,0.019528313,1.0,0.049460143,-0.0031434707
Cnnm3,-0.5605043,1.0,-0.11416056,-0.5605043,0.05445534308968755,-2.4429421,-0.5605043,0.40806937103962976,-1.5504073,-0.011928616
Ankrd23,0.067751355,1.0,0.13029125,0.067751355,1.0,0.07874388,0.067751355,1.0,0.052934147,-0.0025583017
