Union_likelihood_genes,All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
Batf,,,,,Nsd1,0.16106430056163248,,,
Wdhd1,,,,,Pax5,0.14696719606842723,,,
Tlr1,,,,,Ms4a1,0.13394819739283997,,,
Fcgr2b,,,,,Bcl11b,0.07952128541947104,,,
Ighm,,,,,,,,,
Kntc1,,,,,,,,,
Il7r,,,,,,,,,
Mcm6,,,,,,,,,
Ebf1,,,,,,,,,
Chaf1a,,,,,,,,,
Dnmt3a,,,,,,,,,
Kdm5b,,,,,,,,,
Arid1a,,,,,,,,,
Cd200,,,,,,,,,
Taf15,,,,,,,,,
Tardbp,,,,,,,,,
Rora,,,,,,,,,
Clec12a,,,,,,,,,
Arntl,,,,,,,,,
Rfc1,,,,,,,,,
Prmt7,,,,,,,,,
Parp1,,,,,,,,,
Klra8,,,,,,,,,
Tcf7,,,,,,,,,
Mxi1,,,,,,,,,
Hells,,,,,,,,,
Cxcr6,,,,,,,,,
Tox2,,,,,,,,,
Entpd1,,,,,,,,,
Scml4,,,,,,,,,
E2f3,,,,,,,,,
Actb,,,,,,,,,
Ikzf2,,,,,,,,,
Kmt5b,,,,,,,,,
Vax2,,,,,,,,,
Atf1,,,,,,,,,
H2-Eb1,,,,,,,,,
Aurkb,,,,,,,,,
Elf2,,,,,,,,,
Nrp1,,,,,,,,,
Klrg1,,,,,,,,,
Itgax,,,,,,,,,
Ar,,,,,,,,,
Pdcd1,,,,,,,,,
Il4ra,,,,,,,,,
Nfkb2,,,,,,,,,
Dek,,,,,,,,,
Nfxl1,,,,,,,,,
Tnf,,,,,,,,,
Hnrnpul1,,,,,,,,,
Ssb,,,,,,,,,
Bcl11b,,,,,,,,,
Ccr2,,,,,,,,,
Cd28,,,,,,,,,
Brd8,,,,,,,,,
Il2ra,,,,,,,,,
Cx3cr1,,,,,,,,,
Trp73,,,,,,,,,
Khdrbs1,,,,,,,,,
Snrpd1,,,,,,,,,
Chd7,,,,,,,,,
Itgb1,,,,,,,,,
Sox5,,,,,,,,,
