All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common,Union_likelihood_genes,Arm_Ms,Cl13_Ms,All_Ms,Arm_Mu,Cl13_Mu,All_Mu,Arm_Velocity,Cl13_Velocity,All_Velocity
Ighm,0.36716185249866495,Timeless,0.34903589025938686,Hat1,0.3862341161745591,Cd53,S1pr1,Klrk1,Cd74,0.030369387939572334,0.03195858374238014,0.030376238748431206,0.07427115738391876,0.07370838522911072,0.0728793516755104,0.03706718690952926,0.026542872190475464,0.03137741942073987
Timeless,0.3622467876201275,Fasl,0.33843739640099785,E2f1,0.3861968601849242,Ccr2,Creb1,Klrd1,Hells,1.2745730876922607,1.216353416442871,1.251488208770752,1.0919069051742554,1.0306938886642456,1.0636924505233765,0.14661331221057888,0.12494047731161118,0.1640361882040545
Klrg1,0.3608418561818461,Klrg1,0.33293899035109287,H2-Ab1,0.38398387703054704,Ncr1,Tlr1,Ctla4,Prdm1,0.39078736305236816,0.5234941840171814,0.44690242409706116,0.4743974506855011,0.5955882668495178,0.5170513987541199,0.012654961957057486,0.10113810002803802,0.03486848991803144
Mcm6,0.3596847052611996,Atad2,0.3291637033140554,Mcm7,0.3805209299619434,Kdm7a,Zfhx2,Btg1,Phc2,0.3321056365966797,0.31409120559692383,0.3246915638446808,0.18993301689624786,0.20983722805976868,0.198034405708313,,-0.006734110880643129,
Wdhd1,0.35580886136047113,E2f1,0.32635949507541046,Id3,0.37435844161790477,Ighm,Icos,Crtam,Klra1,0.05938000604510307,0.0016251555643975735,0.0349571518599987,0.020383132621645927,0.0,0.011721271090209484,0.029026497294520982,0.0,0.022819008805614216
Cxcr6,0.3482171790946532,Klrd1,0.31524101282610495,Kdm6b,0.3739418032840155,Klra4,Pax5,Klf3,Creb1,0.6722514629364014,0.6126053929328918,0.6454694867134094,1.0654551982879639,0.9554888606071472,1.0173404216766357,,0.1396184265613556,
Klra1,0.3449291918124183,Fosb,0.313219208493849,Id2,0.36669852456044016,Itga2,Mbd4,Ccr7,Tox2,0.010876476764678955,0.07334843277931213,0.037069931626319885,0.009164507500827312,0.09530039131641388,0.04577847942709923,0.009015444585429635,0.02464330568909645,0.019573319076060913
Fasl,0.34348181049182025,Brca1,0.3130302153803693,Ssbp2,0.3661002034226453,Irf4,Lair1,Suz12,Zfhx2,0.053328994661569595,0.12200123071670532,0.08320555835962296,0.02454771101474762,0.03435146436095238,0.028697682544589043,,0.027375780045986176,
Ighd,0.32937110250597545,Cd96,0.311587984285447,Tnfrsf25,0.365453024466666,Foxp1,Cd86,Ikzf2,Smyd2,0.11053866893053055,0.10895992070436478,0.1104532852768898,0.038486797362565994,0.044013671576976776,0.03997098281979561,-0.00823334702521316,-0.0028054146096110344,-0.003177356783655477
Id2,0.31937900961605203,Nsd2,0.3060701924570653,Uhrf1,0.36465356671952087,Phf20l1,Izumo1r,Sp100,Klrg1,1.2997623682022095,0.12585283815860748,0.7983920574188232,0.32220253348350525,0.04178259149193764,0.20038901269435883,0.16476215612030273,0.011635486036539078,0.18994463290444152
Klrd1,0.3099978359195154,Sfmbt1,0.3056256512169495,Fasl,0.3645564044348907,Ighd,Cd84,Fasl,Pdcd1,0.3094755709171295,1.136973261833191,0.6605486869812012,0.2262711524963379,0.7891566753387451,0.46275219321250916,,0.227059468626976,0.0869069928728945
Id3,0.30651694956413705,Brip1,0.29435377882520614,Gadd45b,0.36227413403199904,Arntl,Mcm6,E2f8,Icos,1.4049618244171143,2.210348606109619,1.7345058917999268,2.541522979736328,3.1119625568389893,2.771451473236084,,0.07350202649831772,
Cd96,0.30359614074284047,Klrc1,0.2938845639287381,Aff3,0.3615619664875631,Satb1,Cbfb,Batf,Pax5,0.0,0.0007623019628226757,0.00031363285961560905,0.001586830010637641,0.0034615688491612673,0.002330307848751545,,-4.544012426777044e-06,0.00028606075216535
Brca1,0.3026316275795208,Fkbp5,0.2893004945002691,Ms4a1,0.35537737727156216,Il7r,Smad7,Mcm4,Cd86,0.052955761551856995,0.045920368283987045,0.04880371689796448,0.14930418133735657,0.15618762373924255,0.15071889758110046,,0.09542228281497955,0.010465137925169805
Cd226,0.30138098076820696,Klrk1,0.28906204792171486,Crtam,0.35274014441871415,Itgal,Tsc22d3,Paxip1,Zeb2,0.19415734708309174,0.09394347667694092,0.15141703188419342,1.9998270273208618,1.1526223421096802,1.6439619064331055,0.0372210662434137,0.511880099773407,0.03278808951081111
Fosb,0.30137923418373336,Id2,0.28887696624695264,Pax5,0.3507355043073904,Ly6e,Polr2b,Tnfsf8,Lef1,0.8815268278121948,0.8596484065055847,0.8709621429443359,1.639744520187378,1.2275811433792114,1.4700971841812134,0.002916249949612979,0.034412119537591934,
Runx3,0.2960117880191375,Zeb2,0.28724615217935956,Chaf1b,0.3500191938425687,Klra8,Ly86,Entpd1,Ctla4,1.3561879396438599,2.8143365383148193,1.9658286571502686,4.139934539794922,7.524110317230225,5.565886974334717,0.10355503359946999,0.634519636631012,0.2676615156859442
Tnfsf8,0.295046125313625,Klf3,0.2865490001331674,Fosb,0.3491807091046932,Chaf1a,Rora,Runx3,Mxd1,0.08126527816057205,0.08346518874168396,0.08350247144699097,0.3188895285129547,0.3485089838504791,0.33302876353263855,0.00832491416481325,0.11607235670089722,
Cd84,0.2945865056003871,Kdm7a,0.28454419776396017,Havcr2,0.3480419368376562,Cd5,Foxn3,Il2ra,Mcm6,3.088559150695801,3.1030335426330566,3.0919950008392334,1.72615385055542,1.654452919960022,1.7064119577407837,,0.17953014373779297,0.2606165817558225
Atad2,0.29306146712931447,Ikzf2,0.2835598468179159,Slamf6,0.3437254188472433,Tardbp,Pbx3,H2-Ab1,Fasl,0.3541891574859619,0.2758432924747467,0.31965821981430054,0.611902117729187,0.3751443028450012,0.511691153049469,0.03224476497221094,-0.06344537436962128,0.02834556232401206
Il2ra,0.2917666155809065,Paxip1,0.2807190758766274,Lag3,0.3425020813137932,Dek,Il10ra,Cd74,Ar,0.10091302543878555,0.2751053273677826,0.1729777753353119,0.1863274723291397,0.42460739612579346,0.288370817899704,0.01331869226594621,0.11356325447559357,0.02583349251414182
Tnfsf11,0.2907888578462996,Ctla4,0.2783542935799038,Brca1,0.3357680225916878,Sell,Jade1,Tox,Sema7a,0.13243187963962555,0.17844809591770172,0.15314047038555145,0.3876866400241852,0.4445931613445282,0.41691428422927856,0.012108401307581442,0.1646873503923416,
Sfmbt1,0.2836994138064802,E2f8,0.27801245717420353,Timeless,0.33309776716312745,Klra1,Pbx4,Uhrf1,Cbfb,1.364943265914917,1.4167436361312866,1.3923835754394531,1.1444451808929443,1.2076785564422607,1.171553611755371,,-0.15787583589553833,
Havcr2,0.27851702775916887,Atf7ip,0.2696903376897453,Cxcr5,0.33293670579863077,Fkbp5,Mef2c,Havcr2,Smad7,0.8946347236633301,0.8410493731498718,0.8741509914398193,0.3660790026187897,0.34006181359291077,0.35541245341300964,,0.016355974599719048,
Brip1,0.2764852057727425,Chaf1a,0.2672408239630576,Il2ra,0.3326631479852451,Tnf,E2f2,Cd83,Itga2,0.06455028057098389,0.0439712256193161,0.05587927997112274,0.043599456548690796,0.03139868006110191,0.03730292245745659,0.0075929437957773715,-0.03455398976802826,0.005920223945544079
Prdm1,0.2742615571254318,Mxd1,0.2669822054377777,Cd83,0.3307189965776066,Smyd2,Mcm7,Hells,Rora,1.356516718864441,1.744421124458313,1.5172529220581055,4.997678279876709,8.082293510437012,6.317685604095459,,0.9670864939689636,0.13851676795022763
Cd74,0.274210674798197,Ifngr1,0.2666574876036694,Entpd1,0.326965579975097,Klrg1,Brca2,Prdm1,Foxp1,0.26316913962364197,0.3135058879852295,0.2855614721775055,2.4355342388153076,2.3532040119171143,2.392347812652588,0.036416014017759096,0.5269373059272766,
Gadd45b,0.2741734788515108,Ebf1,0.26639651857676516,Snrpd1,0.3253738812117614,Klra9,Tnfsf11,Ebf1,Runx3,2.616827964782715,1.9923824071884155,2.3579444885253906,2.4140591621398926,1.6543371677398682,2.1046624183654785,-0.019056100184042447,-0.10708651691675186,-0.03654551102827927
Batf,0.2736672648072074,Ccr2,0.2649983522896569,Vax2,0.32355621213772084,Itga4,Ccr6,Il18rap,Arntl,0.06420382112264633,0.10516294836997986,0.08085351437330246,0.31628671288490295,0.41342437267303467,0.35526618361473083,0.012093485507955937,0.04678964242339134,0.018064631636422766
Tox2,0.27302572945525216,Entpd1,0.2649055330894714,Ccr6,0.32046623860246526,Il18r1,Gadd45b,Cx3cr1,Itgal,2.022876739501953,2.0939695835113525,2.0499377250671387,0.6723272800445557,0.5972674489021301,0.6394554972648621,-0.17975060251067382,-0.21822507679462433,-0.07121391575191438
Itgb1,0.27263074769752477,Runx3,0.26326526528375954,Paxip1,0.3167000631682582,Polr2f,Cd9,Klra3,Uhrf1,1.3468103408813477,1.1650142669677734,1.2726902961730957,0.4376101791858673,0.37070363759994507,0.40897342562675476,-0.08752148203657253,-0.054780688136816025,-0.06347398164841937
Il1rl1,0.27200088977967174,Itga2,0.26023832137587116,Klrd1,0.3159353081314783,Myc,Cd40lg,Atf7ip,Pbx3,0.03675555810332298,0.05303243175148964,0.04441685229539871,0.36488771438598633,0.5243780016899109,0.4310397803783417,,0.06976858526468277,
Ar,0.2713623167090269,Ar,0.25992852715579734,Atad2,0.31542380182794466,,Chaf1b,E2f1,Jade1,0.24236510694026947,0.2920045852661133,0.2652404308319092,0.06106100231409073,0.08772928267717361,0.07256180047988892,,-0.009092221036553383,
Paxip1,0.27131001841511215,Polr2f,0.2554667032593213,Prdm1,0.3147863430766683,,Maf,Cenpk,Mef2c,0.004925987217575312,0.0055223628878593445,0.004920432809740305,0.03320835903286934,0.04263830557465553,0.037982143461704254,,0.015953421592712402,
Kdm7a,0.2651372674167472,Kcnip3,0.2525625426666764,Tnfrsf9,0.3147086640284006,,Tcf12,Tox2,E2f2,0.9172349572181702,0.8630372881889343,0.8957806825637817,0.4570114314556122,0.44370633363723755,0.4501083493232727,,-0.05124053359031677,0.022423360020959803
Chaf1a,0.2649203520788619,Irf4,0.2519380227668685,Tnfsf11,0.3073026346512464,,Mbd2,Itga1,Tnfsf11,0.0028665612917393446,0.007317913230508566,0.004885080270469189,0.00348662119358778,0.06134558841586113,0.02818627469241619,,0.005040925927460194,0.004289909386917427
