Union_likelihood_genes,All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
Espl1,Orc1,0.30850482083586817,,,Il7r,0.3262232491863544,,Ep300,
Polr2f,Itgax,0.3055494712333822,,,Zbtb38,0.32390934901385027,,Wdhd1,
Lag3,Kdm5b,0.3037088672072431,,,Itgax,0.32381579340502453,,Cd74,
Timeless,Aurkb,0.3031738447525505,,,Ggt1,0.3222503129636746,,Kntc1,
Cenpk,Suz12,0.3019554465223492,,,Aurkb,0.321744462246938,,Mcm6,
Rbl1,Kntc1,0.2985286900039419,,,Il1rl1,0.3206847337018978,,Lag3,
Hnrnpd,Zbtb11,0.29693873849168295,,,Cd84,0.3198845656037606,,Hmmr,
Irf2,Brd9,0.294880462555177,,,Kdm7a,0.31967335155506416,,Chaf1a,
Aff3,Toe1,0.29382638343573203,,,Zbtb10,0.31934440114193224,,Kdm5b,
Hnrnpab,Tnfrsf9,0.29292400446005623,,,Rbl1,0.3190060365583196,,Timeless,
Ggt1,Entpd1,0.2928381129975604,,,Ezh2,0.31297266942965646,,Cenpk,
Zbtb11,Pou2f2,0.2918372476483365,,,Brd9,0.3113584735557314,,Rbbp7,
Crtam,Hmmr,0.29141269728371993,,,Taf1,0.3105920334333707,,Rbl1,
Nsd1,Dnmt3a,0.29134449369158744,,,Espl1,0.30980311011124806,,Hdac7,
Btg1,Chaf1a,0.2907085896372463,,,Chaf1a,0.30845397869068875,,Taf15,
Foxm1,Vax2,0.2893679946078038,,,Ssb,0.30780016438561164,,Hnrnpd,
Adam8,Taf1,0.2892653877233883,,,Tfrc,0.3067738888466086,,Rfc1,
Dnmt1,Ewsr1,0.2892086499437686,,,Snrpb,0.30562802358551605,,Irf2,
Ercc5,Itga4,0.2884627895541087,,,Rel,0.30406127316406684,,Parp1,
Brca2,Nrp1,0.2874988118213637,,,Il18r1,0.30222646749731785,,Hnrnpab,
Brip1,Ar,0.287142199994323,,,Mcm8,0.30163178458533263,,Ggt1,
Mybl2,Tnf,0.28560666536797735,,,Suv39h1,0.30143063190555486,,Zbtb11,
Ssrp1,Fasl,0.2837103564969654,,,Fmr1,0.3014079790620456,,Tfdp1,
Cd83,Wbp11,0.2835021093186935,,,Kdm5b,0.2958734894289035,,Tox2,
Itga1,Slamf1,0.27950199095196243,,,Zfp36l1,0.29397675214669117,,Entpd1,
Thrap3,Cd38,0.27795184123861266,,,Mbd4,0.29233940080887183,,Nsd1,
Ddx20,Ctla4,0.277064451192372,,,Zfhx2,0.2916721130406542,,Gadd45b,
Tfrc,Rbl1,0.275991011261025,,,Klrk1,0.2914103523889392,,Foxm1,
E2f1,Eif2ak2,0.2753639081043315,,,Cd86,0.2883976490849717,,Dnmt1,
Pou2f2,Zfhx2,0.27455704653508256,,,Tgif2,0.2870373086633175,,Brca2,
Mbd4,Zbtb38,0.27403702239229377,,,Tcf7,0.28700579181469754,,Vax2,
Maf,Cd84,0.27345031885222737,,,Parp1,0.2868850644734958,,Brip1,
Baz1b,Cd86,0.27281240683093627,,,Cnot6,0.28657748209087724,,Mybl2,
E2f2,Itga1,0.2701503283828091,,,Cd38,0.283329197516369,,Zbtb10,
Tgif2,Il7r,0.26980128371495266,,,Fasl,0.2819477831644092,,Atf1,
Il23r,Fcgr2b,0.26860016410912707,,,Creb1,0.2816942368488959,,Thrap3,
Suz12,Srrm1,0.26840041165007494,,,L1cam,0.2805625576146979,,Znfx1,
Zfp277,Arntl,0.2668319092324541,,,Vax2,0.2800716832309841,,Tfrc,
Btg2,Btg2,0.26677599438745864,,,Il2ra,0.27789668428045394,,E2f1,
Kcnip3,Klf6,0.2663228420465193,,,Foxm1,0.2777984795234927,,Pou2f2,
Elf4,Brd8,0.2658005357867686,,,Zmynd11,0.2738856822372491,,Ybx1,
Fosb,Nfia,0.26544268836842605,,,Pax5,0.27379769723881286,,Itgax,
Tnfrsf9,Polr2f,0.2636001309828901,,,E2f2,0.27311302075562993,,Trip11,
Il1rl1,Elk3,0.26336065987250795,,,Rarg,0.27306913066615424,,Mbd4,
Ezh2,Chd9,0.2627405974312716,,,E2f6,0.2722764219751726,,Dek,
Zeb2,Runx3,0.26223031866802127,,,Zdhhc21,0.27087701584728346,,E2f2,
Zmynd11,Foxp4,0.2607316346109085,,,Ccr6,0.2700768677001687,,Rarg,
Smurf2,Klrk1,0.2598362639589532,,,Ikzf1,0.2685619383975744,,Jarid2,
Il18rap,L1cam,0.255537920499479,,,Ly86,0.2680374608111864,,Tgif2,
Tet3,Tardbp,0.25546560543287,,,Irf2,0.26781671703179627,,Suz12,
Klrb1c,Taf15,0.2553216787141594,,,Hnrnpr,0.2677433317204526,,Padi2,
Zbtb38,Cd28,0.25481515240270414,,,Fbxo7,0.266712699171997,,Cd38,
Hnrnpr,Mcm8,0.2539223883502498,,,Tbc1d2b,0.2655839826241052,,Btg2,
Klra3,Kmt5b,0.2518309466365598,,,Hivep3,0.26295290281901584,,Elf4,
Ccr6,Hivep3,0.24978785524989555,,,Mta3,0.26092165325145444,,Tnfrsf9,
Creb1,Maf,0.2493248561515584,,,Pou2f2,0.2601986336504554,,Il1rl1,
Brca1,Batf,0.24928616284236074,,,Jarid2,0.25857603730468515,,Ezh2,
Mxd3,Padi2,0.24925298311815794,,,Setbp1,0.2582374380628399,,Ssb,
Fus,Polr2h,0.24835347009001496,,,Cx3cr1,0.25730589864818715,,Bcl11b,
Eed,Ccr9,0.2481086136849039,,,Tbx21,0.25590532122555876,,Zmynd11,
Trps1,E2f2,0.2478312432035018,,,Eed,0.2549363888530776,,Il18rap,
Cd47,Itga2,0.2474793042444265,,,Cd226,0.25016347888410134,,Tet3,
Ctcf,Znfx1,0.2458579038330934,,,Nsd1,0.25006601772519077,,Cd28,
Pax5,Klra3,0.24484097838711752,,,Znfx1,0.24990740779219858,,Klrb1c,
Igf2r,Nt5e,0.24454079607322013,,,Ccr9,0.24929905666347474,,Zbtb38,
Fli1,Hdac7,0.24257848262155107,,,Batf,0.24905194140778109,,Cx3cr1,
Tcerg1,Ssb,0.242016216495765,,,Itga2,0.24868833100315785,,Ccr6,
Supt16,Ikzf1,0.2403606301150442,,,Ccr7,0.2473266844785739,,Taf1,
L3mbtl3,Setbp1,0.23887016108042292,,,Mxd3,0.24674016261077553,,Creb1,
Trim25,Cx3cr1,0.23856858959951074,,,Tet3,0.2461794115219809,,Trp73,
Fasl,Slamf6,0.23784722856315693,,,Elk3,0.24504333564295738,,Brca1,
Paxip1,Notch3,0.23743822831986075,,,Trp73,0.24481833927377197,,E2f6,
Ly86,Thrap3,0.23329038584516537,,,Thrap3,0.2441538862095023,,Mxd3,
Mcm4,Ikzf2,0.23312790242546744,,,Igf2r,0.24319886521090714,,Snrpd1,
Nfia,Tox2,0.23279456215905564,,,Cd200r1,0.24296863941049654,,Gtf2f2,
Chaf1b,Ssbp2,0.23276975316776136,,,Cd28,0.24284370937856326,,Itgb1,
Mcm3,Il2ra,0.23199205690013128,,,L3mbtl3,0.2415733988487942,,,
Sp100,Nsd1,0.2291413042774824,,,Padi2,0.23984582854428518,,,
H2-Ab1,Gtf2f2,0.2283508083208873,,,Srrm1,0.23661997935291065,,,
Chd9,Ggt1,0.2280946966226968,,,Ikzf3,0.2353202595609327,,,
Slamf6,Cd47,0.2275434745922805,,,Tox,0.23323763609449535,,,
Mcm7,L3mbtl3,0.2268372010525408,,,Bcl11b,0.2327064958516723,,,
Nsd2,Foxm1,0.2258068411762244,,,Foxp4,0.23261240899406643,,,
Smarca5,Cnot6,0.22454175169947618,,,Klrb1c,0.2325853773781621,,,
L1cam,Sp4,0.22225113530291624,,,Atp1b3,0.2322032142593272,,,
Sp140,Tet3,0.22206641782583558,,,Fli1,0.2303197310014134,,,
Uhrf1,Sp140,0.22026251954700163,,,Hdac7,0.22853090393910275,,,
Eif2ak2,Smurf2,0.21951833910747193,,,Ep300,0.22649844702364053,,,
Cd84,Zmynd11,0.21527655808296872,,,Tox2,0.22497140205390767,,,
Klrd1,Klra6,0.21372298272069107,,,Atf1,0.22403657885622708,,,
Fmr1,Fli1,0.21182942433835517,,,Fcgr2b,0.2218805947614337,,,
Polr2h,Cd200r1,0.21113381086481858,,,Klra3,0.22155721559142805,,,
Hivep3,Mta3,0.20859467889797606,,,Ikzf2,0.21877063940128746,,,
Il10ra,Rarg,0.20691310920126796,,,Taf15,0.21816902177407102,,,
Mcm8,Trps1,0.20513528160275782,,,Zbtb11,0.21686235560243483,,,
Rel,Itgb1,0.20394058689622535,,,Trip11,0.21524638439445468,,,
Elk3,Adam8,0.20278829951681795,,,Ctla4,0.20926150526409773,,,
Atp1b3,Zfpm1,0.20270264698547943,,,Gtf2f2,0.20601258512781748,,,
Zfp36l1,Ccr7,0.20074238775141376,,,Cd83,0.20461279251030978,,,
Tox,Zfp277,0.20004396989763276,,,Mef2c,0.2039575085249388,,,
Ssbp2,Ikzf3,0.19931327675307425,,,Elf4,0.1987726056905184,,,
Nap1l1,Trim25,0.19753657829846527,,,Arid5b,0.19791803002993935,,,
Setbp1,Ep300,0.1958191596552715,,,Smyd2,0.19557474059970947,,,
Cd86,Pax5,0.1935319078016888,,,Pou2af1,0.1907238175240822,,,
Orc1,Ercc5,0.19144357349512836,,,Itgb1,0.1890900550713919,,,
Slamf1,Klrb1c,0.19022799504720625,,,Tnfsf8,0.17217016278227723,,,
Itga2,Arid5b,0.18994828273522826,,,Id3,0.16904570357638496,,,
Pou2af1,Klra1,0.18105977596474465,,,Aff3,0.12351542990920873,,,
Hmgb2,Hnrnpr,0.17388591684459018,,,,,,,
Sp4,Cd83,0.17294425720550088,,,,,,,
Batf,H2-Ab1,0.16543833872674596,,,,,,,
Wdhd1,Batf3,0.1647223110435246,,,,,,,
Fcgr2b,Ccr6,0.1541861897764204,,,,,,,
Ighm,Cd74,0.1496431112578578,,,,,,,
Kntc1,Ly86,0.14363066671557242,,,,,,,
Il7r,Tnfsf8,0.13431469745817431,,,,,,,
Mcm6,Kcnip3,0.12702758109085002,,,,,,,
Chaf1a,Aff3,0.12037280390752164,,,,,,,
Hmmr,Trp73,0.11860542586353301,,,,,,,
Dnmt3a,Tcf7,0.11768512915633365,,,,,,,
Kdm5b,Atp1b3,0.10994337397312491,,,,,,,
Rbbp7,Il23r,0.0028504630991001544,,,,,,,
Hdac7,,,,,,,,,
Taf15,,,,,,,,,
Tardbp,,,,,,,,,
Arntl,,,,,,,,,
Rfc1,,,,,,,,,
Parp1,,,,,,,,,
Tcf7,,,,,,,,,
Tfdp1,,,,,,,,,
Hells,,,,,,,,,
Cxcr6,,,,,,,,,
Tox2,,,,,,,,,
Entpd1,,,,,,,,,
Gadd45b,,,,,,,,,
Nt5e,,,,,,,,,
Ikzf2,,,,,,,,,
Kmt5b,,,,,,,,,
Vax2,,,,,,,,,
Zbtb10,,,,,,,,,
Atf1,,,,,,,,,
Aurkb,,,,,,,,,
Znfx1,,,,,,,,,
Nrp1,,,,,,,,,
Ybx1,,,,,,,,,
Klrg1,,,,,,,,,
Itgax,,,,,,,,,
Trip11,,,,,,,,,
Ar,,,,,,,,,
Pdcd1,,,,,,,,,
Tnf,,,,,,,,,
Dek,,,,,,,,,
Rarg,,,,,,,,,
Jarid2,,,,,,,,,
Padi2,,,,,,,,,
Cd38,,,,,,,,,
Ssb,,,,,,,,,
Bcl11b,,,,,,,,,
Ccr2,,,,,,,,,
Cd28,,,,,,,,,
Brd8,,,,,,,,,
Satb1,,,,,,,,,
Il2ra,,,,,,,,,
Cd8b1,,,,,,,,,
Cx3cr1,,,,,,,,,
Taf1,,,,,,,,,
Trp73,,,,,,,,,
E2f6,,,,,,,,,
Snrpd1,,,,,,,,,
Gtf2f2,,,,,,,,,
Itgb1,,,,,,,,,
