,All_P0,Act-Arm_P0,Act-Cl13_P0,All_P1,Act-Arm_P1,All_P2,Act-Arm_P2,Act-Cl13_P2,All_P3,Act-Arm_P3,Act-Cl13_P3,All_P4,Act-Arm_P4,Act-Cl13_P4,All_P5,Act-Arm_P5,Act-Cl13_P5,All_P6,Act-Arm_P6,Act-Cl13_P6,All_P7,Act-Arm_P7,Act-Cl13_P7,All_P8,Act-Arm_P8,Act-Cl13_P8,All_P9,Act-Arm_P9,Act-Cl13_P9,All_P10,Act-Arm_P10,Act-Cl13_P10
Jmy,0.026328689622348234,0.04360639811814778,,0.012164327477572772,0.04350468453028967,0.021175727034618824,0.01958895055792754,,0.01953137740792286,0.029169353146386127,,0.020025352664183795,0.03045913528871832,,0.023358459528091076,0.03131898738094913,,0.027424866148987488,0.03824881736888614,,0.035053892881248015,0.0497218127317106,,0.027561976376761776,0.04894410088867266,,0.0357977585704927,0.05236583025952376,,0.036010118097157616,0.025170442019074413,
Tsc22d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tnfrsf1b,-0.0412219667942466,,,0.06926735948996657,,0.0479999395791056,,,0.05224656929776962,,,0.06791039580776907,,,0.06006289997999996,,,0.06114282133542432,,,0.03231551961277023,,,0.025088910489001356,,,0.05897363305761067,,,0.0747230610599261,,
Sox5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaf1b,0.12168417114871655,-0.004252742867927581,0.07873937676499887,-0.04915905912215669,-0.026395109400136136,0.04152841820054283,0.14321938552575095,0.10272594741902702,-0.051763616967112444,0.03292596933437036,-0.11174096645265931,-0.03429164569852888,0.011189224660829715,0.014098563715024671,-0.043383781192886335,0.0008224944501352568,-0.07580204341739638,0.06081763862532615,0.11870271144890278,0.07875741817026087,0.011049263359453207,0.18455198200460302,-0.055450176762781404,0.07120278717358143,0.20670385141251688,-0.01910100565513831,0.16169036207625054,0.1800490919196551,0.07480853501030113,0.15250474653927437,0.17076732915050602,0.07507002681044689
Rbbp5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brip1,0.056320064295913165,0.06423250240911653,-0.05744815617799759,0.07318142947058234,0.06508197260521302,0.11077086885403598,0.09009669202390007,0.11921159201129453,-0.03324383025278492,-0.031003149908690984,-0.05278150489720089,0.06297940440788803,0.02349106934748986,-0.00785239992210829,0.08634998144252648,0.07967768657524386,0.0981706892132395,0.0825368286720476,0.090995116533061,0.0328429960049078,0.060017906539610366,0.05711725414793259,0.04592755071226906,0.10060768035322724,0.07576534311770806,0.09301163086029234,0.09252425066089161,0.05429923899884112,0.09809519023636035,0.028094819457341207,0.03824461407064066,0.11145675933726684
Zfp606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cd68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klrb1c,0.0019065689314919677,-0.0006714411130898062,-0.04315516483499127,0.0369961384183024,-0.0034143212500392724,0.09603305040557115,0.20215884049572042,-0.006323317699986683,0.016529051791808243,0.0537368374531141,0.005173108743168309,0.0008600066426020775,0.05659894699954577,0.016330712109085523,0.038225180482214564,0.03539973724322481,0.027214519326819113,0.03133628542658263,0.07205306413660953,-0.017732225894063123,-0.010932318935338192,-0.033882320250797945,-0.007853012991227128,-0.14941446543838532,-0.04866780377924442,-0.09436877677003412,-0.03817003425940789,-0.0007271395661158898,-0.02012179164249707,-0.18016259827627337,-0.17519857437687555,-0.07317819451272892
Pecam1,0.03458411282698487,0.024761023609801966,0.013178991302324666,0.0461198876238012,0.02814966803942148,0.03646947288873803,0.027553571784102542,0.05461795738070121,0.04434691462679563,0.030373080368513147,0.05952050599901196,0.041090576045544155,0.03095647403190183,0.05950984181887515,0.037781627474506856,0.026133252895888873,0.05610656247312473,0.04020567403284575,0.027964938064133645,0.057133756379147596,0.033518570987789584,0.027956456889679474,0.029823422263359493,0.04907111992856606,0.037052231702322524,0.05710094222294273,0.05185912447523075,0.034535165151604895,0.058068239679620555,0.030466938161006728,0.02539755207407529,0.05973705081806062
Cdc5l,,,-0.04637958844489105,,,,,0.0231641362967338,,,0.017295891416984843,,,0.02868904495108801,,,0.021456703528913833,,,0.015126745318124224,,,-0.00914975841318142,,,-0.035809159575707156,,,-0.011989764195902794,,,-0.028274295518076052
