,All_P0,Act-Arm_P0,Act-Cl13_P0,All_P1,Act-Arm_P1,All_P2,Act-Arm_P2,Act-Cl13_P2,All_P3,Act-Arm_P3,Act-Cl13_P3,All_P4,Act-Arm_P4,Act-Cl13_P4,All_P5,Act-Arm_P5,Act-Cl13_P5,All_P6,Act-Arm_P6,Act-Cl13_P6,All_P7,Act-Arm_P7,Act-Cl13_P7,All_P8,Act-Arm_P8,Act-Cl13_P8,All_P9,Act-Arm_P9,Act-Cl13_P9,All_P10,Act-Arm_P10,Act-Cl13_P10
Cdc5l,1.1239954,1.2051461,1.6014366,1.1163844,1.1183629,1.5263342,1.5330077,1.5949949,1.5053427,1.4889361,1.5229542,1.4943954,1.4740014,1.5979643,1.3837124,1.3563138,1.4348565,1.3338763,1.3137048,1.3675395,1.2294966,1.2038192,1.2363181,1.2228167,1.3023819,1.2209792,1.2311246,1.2290558,1.351453,1.2128601,1.2125232,1.2162387
Trim24,0.27811596,0.28408322,0.29508734,0.24172905,0.2406845,0.18774213,0.1793125,0.20754288,0.19835676,0.18630672,0.2112917,0.1826214,0.18336287,0.17885584,0.18494457,0.1773649,0.19909328,0.15946974,0.15799111,0.16193737,0.27774444,0.24854198,0.2855025,0.31083935,0.31903616,0.31065005,0.31326866,0.31302083,0.32698628,0.34313774,0.34322828,0.27293378
Btla,0.04991349,0.053111672,0.0,0.081241734,0.08173114,0.0198603,0.01981992,0.02033534,0.014785273,0.011984446,0.017791776,0.01843734,0.018231437,0.01948301,0.01978055,0.0149725815,0.028755425,0.025632227,0.02138067,0.03272754,0.070892066,0.04818531,0.076924436,0.04829357,0.044994753,0.048369754,0.024057921,0.023814248,0.041287336,0.012427312,0.0124664325,0.0
Slamf6,0.86762846,0.9783975,0.82349735,0.9524997,0.95635635,0.7149759,0.70559233,0.86933625,0.7288992,0.5611214,0.9089976,0.65965927,0.64135563,0.7526131,0.62354904,0.5435153,0.7729453,0.7067377,0.6306268,0.8337572,2.7095933,2.0443795,2.8863168,0.69939923,0.56559616,0.7024894,0.77709097,0.77511567,0.90349895,0.36867386,0.3678625,0.5700714
Ube2k,0.785343,0.80004716,0.56176305,0.83603954,0.83597845,1.3998785,1.4091337,1.4142128,1.2915169,1.2870302,1.2963331,1.3131124,1.3003063,1.3781466,1.3924167,1.3884234,1.3998708,1.3287051,1.3211807,1.3412623,1.1019605,1.0761887,1.1088073,1.1292732,0.99408805,1.1323953,0.95071054,0.94810206,1.1215885,1.0155959,1.014966,1.3990369
Klf6,2.0764031,5.7294426,3.529513,10.18267,10.225421,3.5008824,3.5720153,2.9017038,5.007625,5.522857,4.454557,4.641332,4.7834587,3.9195542,4.1946254,4.473668,3.6737463,4.007282,4.1398344,3.7860684,4.4458923,6.406634,3.9249935,2.9180393,4.8014746,2.874542,8.583551,8.629145,5.510498,8.026605,8.032015,7.612794
Timeless,0.15448329,0.17058742,0.15732107,0.117131606,0.11671842,0.5762358,0.58484155,0.6161869,0.39374346,0.4162709,0.3695617,0.5209189,0.53478837,0.4504839,0.6892562,0.6898456,0.6881559,0.4820495,0.52666265,0.40759572,0.17880517,0.20838678,0.1709464,0.2855497,0.16217709,0.28839895,0.08412378,0.08329462,0.14287725,0.07444203,0.07435989,0.15080383
Cd48,1.9864639,2.2556887,1.2533886,2.040298,2.0382352,6.9514947,7.141315,6.3288393,9.886123,10.632794,9.08462,9.346228,9.363585,9.258079,8.285136,8.541834,7.8059664,10.524677,10.78372,10.092368,4.814117,4.7693543,4.826009,7.7250977,7.8407326,7.722427,6.80162,6.7838273,7.9577456,7.4862227,7.4864917,7.6730556
Zfp354c,0.060704052,0.04426096,0.068985164,0.046220854,0.046499293,0.0037598002,0.0031139127,0.008735605,0.002487583,0.0019879215,0.0030239369,0.002682532,0.0026216374,0.0029917806,0.004893593,0.0033264498,0.007818928,0.002601312,0.0024742533,0.0028133572,0.0153982565,0.012534676,0.016159007,0.014420485,0.0042073075,0.014656356,0.0031139783,0.0030733768,0.005935101,0.010429417,0.010462248,0.0
Sirt5,0.055781677,0.03454033,0.0,0.03361659,0.033378143,0.049784526,0.0472807,0.05254257,0.019957295,0.015765995,0.024456378,0.028207742,0.027632346,0.031129844,0.024689501,0.025963394,0.022311565,0.024370685,0.026017858,0.02162176,0.06826189,0.055209137,0.07172954,0.048682243,0.021574754,0.04930828,0.046594072,0.046813287,0.03488496,0.0122588035,0.012297394,0.0
