All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common,Union_likelihood_genes,Arm_Ms,All_Ms,Arm_Mu,All_Mu,Arm_Velocity,All_Velocity
Tox,0.23857565816206078,Cd5,0.23434510917871618,,,Cxcr2,,,Ctla4,1.3504843711853027,1.365099310874939,2.3764302730560303,2.4241678714752197,0.12731667807345767,0.06718799754782076
Bst2,0.23808456132466718,Lgals3,0.23155175585636667,,,Kdm6b,,,Mcm6,0.861842155456543,0.8755311965942383,0.3421187102794647,0.3418937027454376,0.13698507889979214,0.15640116714938007
Itga4,0.2370460573431456,Slc3a2,0.22595693074799608,,,Cd83,,,Sub1,14.636941909790039,14.680000305175781,1.267364501953125,1.2688863277435303,-0.16508680340259085,0.633373481740603
Nrp1,0.23550886931335197,Fcgr2b,0.22268166873303494,,,Klra8,,,Setdb2,0.16040077805519104,0.15658484399318695,0.22611995041370392,0.22148346900939941,,-0.0039387094713025424
Klra3,0.23069009802387322,Cd83,0.2223786555854106,,,Hells,,,Tnfsf8,0.04684697091579437,0.046682488173246384,0.03584630414843559,0.03567449003458023,-0.0003486879821417608,-0.000723014364722211
Fcgr2b,0.2298797189454326,Ebf1,0.2191549553421104,,,Cd5,,,Rora,4.193049430847168,4.1902642250061035,8.582930564880371,8.596022605895996,0.26973730347212166,0.24840342947376662
Pou6f1,0.22765694494055716,Kdm7a,0.21801441320078993,,,Ebf1,,,Ly86,0.0021336842328310013,0.002116145333275199,0.0028403420001268387,0.00284322421066463,0.001554595963135411,0.000651484343403363
Klra4,0.22737069927605508,Kdm6b,0.21208107813125288,,,Sell,,,Nr4a2,1.847296118736267,1.871339201927185,2.0489516258239746,2.0544097423553467,,0.12776326402836835
Kdm7a,0.2231715166106768,Tnf,0.21119353780876468,,,Klra1,,,Lgals3,5.334139823913574,5.441143035888672,0.13889816403388977,0.13962875306606293,-0.11816074852594481,-0.15864471867510294
Aff3,0.22211901514050725,Cd86,0.2100337678574776,,,E2f1,,,Ovol2,0.016051454469561577,0.016364403069019318,0.011300613172352314,0.01236745249480009,0.013858391062614344,0.013457822257711593
Nr4a2,0.21467300230726727,Aff3,0.20969737291192764,,,Itgb3,,,Itgal,4.600921630859375,4.58424711227417,1.653802514076233,1.6454600095748901,-0.017326652234035574,-0.02072442721989791
Cd69,0.21439765863897928,Ikzf3,0.20720153878314676,,,Mcm5,,,Uhrf1,0.06246187165379524,0.06621173769235611,0.011350184679031372,0.011367467232048512,0.06558556943468127,0.014983482423260213
Tnfrsf9,0.2129178380762109,Tbx21,0.2071538775034016,,,Klrg1,,,Tbx21,1.1449451446533203,1.1491100788116455,3.1163599491119385,3.105487108230591,0.041704384176216615,0.07008610705450723
Ly86,0.2096720368563405,Itgb3,0.20575695994556134,,,Cd55,,,Klra3,0.16143275797367096,0.15947574377059937,0.05398871749639511,0.05392034724354744,0.04204343810400379,0.04662567308055416
Ikzf3,0.2081619526965704,Il18r1,0.20550208265312703,,,Il18r1,,,Tnf,0.09438543021678925,0.09396396577358246,0.09936118870973587,0.10016348212957382,0.01711207360090175,0.01630005875116122
Il18r1,0.2044252923289416,Cd69,0.20174100769950823,,,Pou6f1,,,Mcm7,0.25649160146713257,0.25983333587646484,0.034671150147914886,0.03347048908472061,0.05599513817703611,0.06810860671856797
Ebf1,0.2041129954075912,Ggt1,0.20157368727132174,,,Icos,,,C5ar1,0.0011749829864129424,0.0011296269949525595,0.004048071801662445,0.0040171206928789616,9.582232881274542e-05,0.00039145080573947937
Adam8,0.2028947910026085,Sub1,0.2011399536453801,,,Csf3r,,,Itga4,9.844914436340332,9.807995796203613,10.107806205749512,10.10999870300293,0.06357689294828686,0.05338099682636653
Tbx21,0.20137079844322944,Klra3,0.19994739569278824,,,Spn,,,Fosb,0.9961354732513428,0.9969441890716553,0.2605580985546112,0.25793808698654175,0.15444791159492577,0.15236883814904761
Satb1,0.1977099972073615,Ahr,0.19881196359911593,,,Notch3,,,Il18rap,3.790919780731201,3.7842419147491455,6.8191328048706055,6.800506114959717,0.5849361726672742,0.6764605077126251
Myb,0.19652119158473486,Bst2,0.19802363313090066,,,Pcgf5,,,Stat2,0.12117919325828552,0.12185585498809814,0.23391024768352509,0.2318430095911026,0.017691844276782342,0.008253881995062275
Cd86,0.1958333291373163,Satb1,0.1966455131516978,,,Cd86,,,Aff3,0.053332824259996414,0.05459881201386452,1.3366129398345947,1.3382046222686768,0.012314143585025413,0.011647893602591497
Itgb3,0.19439262169196733,Mcm6,0.19055223968767357,,,Slamf6,,,Bst2,2.1007182598114014,2.112316370010376,0.026380376890301704,0.024937031790614128,-0.7164854976050474,-0.5351838761855437
Sub1,0.19381880415823852,Ly86,0.18720534078458925,,,Fcgr2b,,,Sirpa,0.006021703593432903,0.00583031727001071,0.0011269451351836324,0.0010834434069693089,0.006014914288453761,-0.0013773836437081053
Ssbp2,0.1906913098283567,Myb,0.17415501239244793,,,Tcf7,,,Nrp1,0.37428194284439087,0.37741556763648987,0.5491142868995667,0.5580439567565918,0.08668419568666019,0.048651789339431234
Tnf,0.18913868140597564,Klra4,0.1515678413877117,,,Zeb2,,,Mcm3,0.43535128235816956,0.4430094361305237,0.05015414580702782,0.05145775526762009,0.13304976328625748,0.019352703164185584
Mcm6,0.18518834650910468,Tnfsf8,0.1430964593697134,,,Fosb,,,Zfp36l1,2.0086660385131836,2.0077338218688965,0.6074531078338623,0.6024143099784851,0.026128301261174627,-0.013183037790013875
Cd83,0.15846336148165088,Setbp1,0.13324554968383787,,,Ahr,,,Treml2,0.01174501609057188,0.012034270912408829,0.0004546628624666482,0.0004492580483201891,0.0031508004978719403,-0.0013990000366268277
Klra6,0.1584138780496314,Pcgf5,0.11942519758914626,,,Myb,,,Klf3,2.013782024383545,1.9980779886245728,1.0248489379882812,1.0167310237884521,0.0879311437142725,0.12367701622326713
