All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
Ssbp2,0.16018842338162886,Ebf1,0.1104742875125026,Ccr7,0.00012606622742586426,,,
Klra1,0.1564768166217394,Cd55,0.1020463092775723,Plaur,1.4171714058122515e-06,,,
Mxd3,0.15328763696829395,Tnfrsf4,0.09867227630975826,Batf3,8.687293987036417e-09,,,
Jaml,0.15077728283874775,Eif2ak2,0.07665929673183107,Cxcr2,1.9251117534593135e-15,,,
Cd160,0.1507207214545787,Itgae,0.0714911055590965,,,,,
Maff,0.1459897026007721,Cd36,0.07019443529437296,,,,,
Igf1r,0.1445482545514162,Id3,0.0701929670127889,,,,,
Hmmr,0.13951233603452565,Tox2,0.06862526938363009,,,,,
Tox2,0.11903193077241932,Tnfsf4,0.0361374094600392,,,,,
Apex1,0.11075149690178863,Daxx,0.027903264678872906,,,,,
Treml2,0.11006899983990642,Prdm5,0.02625449026377379,,,,,
Lef1,0.09288871772836468,Jaml,0.003904576449429932,,,,,
Slamf6,0.09197125128908278,H2-Eb1,0.002211644907318109,,,,,
Daxx,0.08344064208061748,Cd300c2,0.001466449930348745,,,,,
Ahr,0.07519188535123196,Atf3,0.0006573100163229524,,,,,
Tnfrsf4,0.06869505044344544,Pirb,0.0005296381871623523,,,,,
Cd55,0.06459318730550408,Bcl11a,0.0005177413532828166,,,,,
Ighd,0.05671539866214128,Plaur,0.0002665869614802673,,,,,
Cd22,0.055734385072127,Ly86,0.0002333531301723194,,,,,
Il1r2,0.0055075665528601355,Ifi204,0.00020854895964814922,,,,,
H2-Ab1,0.004011771997920857,Klra8,0.00014176840893495053,,,,,
Atf3,0.0033185005132546383,Ncam1,0.00013556789383904744,,,,,
H2-Eb1,0.0027605437462938863,Cxcr2,0.00012434554939146344,,,,,
Cd300c2,0.0012805843644716859,Pbx1,6.276752198991867e-05,,,,,
Ebf1,0.0012587107655527882,Lmo2,5.6140583467502816e-05,,,,,
Ly86,0.000880810200567273,Il23r,4.974001596861109e-05,,,,,
Bcl11a,0.0005706652144034721,Ovol2,3.695545005485768e-05,,,,,
Pirb,0.0005594348461969603,Apex1,3.64824570627018e-05,,,,,
Cxcr2,0.0004937496344691375,Batf3,1.8102271512167465e-05,,,,,
Fcgr1,0.0004356842494509441,Tnfsf11,6.363951008493637e-06,,,,,
Cbfa2t3,0.00024861289473806787,Ighd,1.9710534426458977e-06,,,,,
Padi4,0.0001830881716835343,Cd74,8.808926093269855e-07,,,,,
Dach1,0.00017900520714549407,Cbfa2t3,7.109292667332843e-09,,,,,
Plaur,7.133212807183032e-05,Il1r2,4.1262614613170866e-11,,,,,
Ccr6,5.909967022373525e-05,Ahr,9.776407555727476e-12,,,,,
Il23r,4.92289103003009e-05,H2-Ab1,3.256406111516995e-13,,,,,
Ifi204,1.538332523828904e-05,Csf1r,3.5664069615536954e-44,,,,,
Tnfsf4,1.4380438921667385e-05,Dach1,3.0590705260666427e-69,,,,,
Batf3,1.3365674109369757e-05,,,,,,,
Pbx1,3.2653460869261873e-06,,,,,,,
Klra8,1.7462377239993274e-06,,,,,,,
Ovol2,7.742250635847999e-07,,,,,,,
Cd74,1.5045849109799943e-07,,,,,,,
Cd200,2.080118305989418e-08,,,,,,,
Ncam1,8.50519397225857e-09,,,,,,,
Trp73,6.332336028867968e-09,,,,,,,
Ms4a1,1.8452547683319917e-09,,,,,,,
Lmo2,9.687351279463709e-11,,,,,,,
Csf1r,9.91308506087874e-41,,,,,,,
