ID,count
ENSMUSE00001242339,285
ENSMUSE00001268309,429
ENSMUSE00001215165,1612
ENSMUSE00001297372,247
ENSMUSE00001250790,676
ENSMUSE00001214450,104
ENSMUSE00001252541,89
ENSMUSE00001319752,0
ENSMUSE00001320303,8
ENSMUSE00000602836,1
ENSMUSE00001325739,2
ENSMUSE00001325023,0
ENSMUSE00001006918,164
ENSMUSE00001335832,16
ENSMUSE00001334980,25
ENSMUSE00001321527,2
ENSMUSE00001319659,8
ENSMUSE00000991700,0
ENSMUSE00001333223,16
ENSMUSE00001324984,226
ENSMUSE00001066200,6
ENSMUSE00001331582,3
ENSMUSE00001329928,3
ENSMUSE00001331212,3
ENSMUSE00001333682,0
ENSMUSE00001321420,16
ENSMUSE00001330132,0
ENSMUSE00001338537,1
ENSMUSE00001335333,38
ENSMUSE00001329076,0
ENSMUSE00001323173,0
ENSMUSE00001180537,0
ENSMUSE00000945697,0
ENSMUSE00001319547,0
ENSMUSE00000548036,56
ENSMUSE00001323126,0
ENSMUSE00001329601,0
ENSMUSE00001318154,2
ENSMUSE00001322914,0
ENSMUSE00000722463,0
ENSMUSE00001326956,2
ENSMUSE00000746457,7
ENSMUSE00001323546,1
ENSMUSE00000699794,32
ENSMUSE00000155843,103
ENSMUSE00000945813,0
ENSMUSE00001322789,1
ENSMUSE00001322497,2
ENSMUSE00000398988,8
ENSMUSE00000883116,2571
ENSMUSE00000547816,2561
ENSMUSE00001321676,1643
ENSMUSE00001318186,8562
ENSMUSE00001331209,44
ENSMUSE00000699657,7388
ENSMUSE00000384530,8948
ENSMUSE00000473610,8726
ENSMUSE00001328059,186
ENSMUSE00001324562,525
ENSMUSE00000630006,2720
ENSMUSE00000630003,1780
ENSMUSE00001327231,2
ENSMUSE00001319763,34
ENSMUSE00001072252,3
ENSMUSE00000547501,117
ENSMUSE00001041557,117
ENSMUSE00001328729,117
ENSMUSE00001332549,0
ENSMUSE00001327815,42
ENSMUSE00000856585,443
ENSMUSE00000859891,209
ENSMUSE00001289350,443
ENSMUSE00001257831,39
ENSMUSE00001242029,159
ENSMUSE00000853377,112
ENSMUSE00001329561,1
ENSMUSE00000155734,1
ENSMUSE00000847844,0
ENSMUSE00001322578,4
ENSMUSE00000381173,176
ENSMUSE00001325153,270
ENSMUSE00000823456,78
ENSMUSE00001307638,77
ENSMUSE00000826226,49
ENSMUSE00001289653,25
ENSMUSE00001324875,0
ENSMUSE00001332282,0
ENSMUSE00001339154,2
ENSMUSE00001317704,0
ENSMUSE00001245061,68
ENSMUSE00001307583,22
ENSMUSE00001241662,68
ENSMUSE00001305873,16
ENSMUSE00001208682,6
ENSMUSE00001328625,2
ENSMUSE00001329749,26
ENSMUSE00001331485,40
ENSMUSE00000847755,0
ENSMUSE00000459805,439
ENSMUSE00001324509,27
ENSMUSE00001335801,50
ENSMUSE00001326954,31
ENSMUSE00000773416,211
ENSMUSE00000699346,110
ENSMUSE00000856290,140
ENSMUSE00000860932,718
ENSMUSE00000866200,717
ENSMUSE00001270492,630
ENSMUSE00001226001,645
ENSMUSE00001246105,623
ENSMUSE00001250334,384
ENSMUSE00001334378,35
ENSMUSE00001109258,8
ENSMUSE00001145584,8
ENSMUSE00000343458,262
ENSMUSE00000851655,7
ENSMUSE00000629950,395
ENSMUSE00001338150,10
ENSMUSE00001340925,0
ENSMUSE00001326735,16
ENSMUSE00001332298,19
ENSMUSE00001324092,8
ENSMUSE00001320844,0
ENSMUSE00001326026,0
ENSMUSE00001333569,0
ENSMUSE00001323763,4
ENSMUSE00001323110,5
ENSMUSE00001323058,2
ENSMUSE00001324345,37
ENSMUSE00001343319,4
ENSMUSE00001345193,3
ENSMUSE00001332524,1
ENSMUSE00001321054,4
ENSMUSE00000357924,57
ENSMUSE00001332918,22
ENSMUSE00001336054,21
ENSMUSE00000154567,186
ENSMUSE00001326409,67
ENSMUSE00000846863,0
ENSMUSE00000903496,48
