gene_names,0,4,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score
Rrp7a,0.3674190938472748,0.29831504821777344,-0.35319817066192627,0.8354780867607029,0.5242773294448853,-0.35319817066192627,0.891348429390395,-0.6270331740379333,-0.35319817066192627,0.08806225919366147,-2.037224531173706
Poldip3,0.4486446976661682,0.4239482879638672,-0.10079093277454376,0.8354780867607029,0.4110657870769501,-0.10079093277454376,1.0,-0.23393629491329193,-0.10079093277454376,0.6480772966271069,-0.7128437757492065
Cyb5r3,0.13889078795909882,0.19139069318771362,0.5014821290969849,0.8354780867607029,0.8086539506912231,0.5014821290969849,0.7613755460935729,0.84930419921875,0.5014821290969849,0.06668140786330065,2.163954973220825
A4galt,0.0,0.0,0.0,0.8354780867607029,0.4110657870769501,0.0,1.0,0.0,0.0,1.0,0.0
Arfgap3,0.029442191123962402,0.04958789423108101,0.7667307257652283,0.8354780867607029,0.6833125948905945,0.7667307257652283,0.8801310129754552,0.6451095342636108,0.7667307257652283,0.21102091050547633,1.5628726482391357
Pacsin2,0.1496652513742447,0.2232997566461563,0.6320081949234009,0.8354780867607029,1.1900690793991089,0.6320081949234009,0.5907904309782354,1.277024745941162,0.6320081949234009,0.0026669084436982365,3.357227325439453
Ttll1,0.034728676080703735,0.027246156707406044,-0.35550010204315186,0.8354780867607029,0.4205000698566437,-0.35550010204315186,1.0,-0.21118049323558807,-0.35550010204315186,0.6910881558529868,-0.6569123864173889
Bik,0.05273335799574852,0.03773009404540062,-0.4939042627811432,0.8354780867607029,0.5525802373886108,-0.4939042627811432,1.0,-0.2812087833881378,-0.4939042627811432,0.4863001064642698,-0.9468159079551697
Mcat,0.11849616467952728,0.07221534103155136,-0.7483780980110168,0.9744264832314634,-0.0822131559252739,-0.7483780980110168,0.7945828432266067,-0.7938314080238342,-0.7483780980110168,0.025687975381450096,-2.5683393478393555
Tspo,2.0834133625030518,1.651545524597168,-0.7383576035499573,0.005013909148638661,-3.8909733295440674,-0.7383576035499573,4.283018781589993e-06,-7.08045768737793,-0.7383576035499573,7.628425492602856e-35,-13.96300983428955
