wilcoxon,t-test,t-test_overestim_var
Cap1,Cenpk,Msrb1
Txnl1,Uqcr11,Sem1
Phlda1,Sept7,Srp9
Hsp90aa1,Psmb6,Mcm2
Ccdc124,Lsm4,Cst3
Rnpep,Stard3nl,Cox7c
Flna,Vps29,Eloc
Txndc5,Esm1,Zdhhc2
Rfc4,Anapc15,Rnpep
Dnajc9,Stx11,Capza1
Hspa5,Esd,Dtl
Cwc15,Itgax,Hdac1
Ctla2a,Tpm4,Hdgf
Chmp2a,Casp4,Erh
Snrpd2,Siva1,Rfc3
Tk1,Lamtor4,Chaf1b
Cycs,Haus4,Bex3
Lamtor5,Cap1,Wdr1
Slc35b1,Dhfr,Emp3
Lamtor4,Hnrnpa3,Fkbp5
Med30,Gnb1,Hnrnpa2b1
Akt1,Rgs16,Tmed9
Cst3,Ostf1,Atp5c1
Hdac1,Dnajc15,Dnajc9
Glipr2,Ndfip1,Tram1
Vasp,Psma7,S1pr4
Sar1b,Hdac1,Slc35b1
Prdx4,Sar1b,Cdk2ap1
Bag1,Slbp,Slbp
Wdr1,Csnk2b,Sms
Erh,Cnih4,Sf3b5
Hdgf,Car5b,Bag1
Bex3,Ywhab,Pgam1
Eloc,Fignl1,Psmb9
Capza1,Atp5g3,H4c9
Ndufs5,Erh,Ssr1
Ranbp1,Ndufa8,Rtn3
Ubl5,Nudt4,Chchd2
Mcm2,Atxn1,Aldoa
Mrps36,Psmc1,Micos10
Fkbp5,Rac2,Tmed2
Pgam1,Flna,Ube2s
Sms,Pnp,Txndc5
Uqcr10,Rfc5,Tnfrsf9
Srsf3,Cbx5,Psmd14
Ndufa13,Med30,Orc6
Tomm22,Klrk1,Ndufs5
Trav14-1,Ube2s,Mcm4
H4c9,Ccr5,Rad51
Bzw1,Mbd2,Bspry
Tram1,Park7,Cycs
Taldo1,Lamtor5,Anapc15
Cep55,Hnrnpab,Ccl3
Taf10,Prdx2,Cenpf
Cdk2ap1,Ccne1,Snrpb
Ccr5,Gdi2,Mrpl54
Prkar1a,Psmb5,Spn
D8Ertd738e,Cit,Casp1
Pnp,Mrps36,Pnp
Mrps24,Ptprcap,Knl1
Mrpl54,Pgam1,Taldo1
Pmf1,Rap1a,Lsm2
S1pr4,Chmp2a,Taf12
Carhsp1,Dnajc9,Lbr
Rac1,Unc119,Tomm22
Ube2i,Ndufc2,Psmd6
Lbr,Tspo,Pmf1
Timm23,Ncapg2,Supt16
Ap3s1,Ncapg,Psmc1
Psmb8,Sms,Uqcc2
Lsm2,Uqcrb,Klrk1
Ssr1,Sec61g,Timm23
Rtn3,Rtn3,Ckap2
Atp5l,Zeb2,Ndufb6
Blmh,Cst3,Ranbp1
Anapc15,Pqlc3,Snrpd2
Mcm4,Mif,Siva1
Psmd14,Psat1,Rad21
Psmd6,Glipr2,Gnas
Mrps14,Arl6ip1,Uqcr10
Lrrc59,Taf12,Racgap1
Supt16,Tram1,Psma3
Tuba1a,Ssr1,Hopx
Rad21,S1pr4,Higd1a
Ssb,Hdgf,Blmh
Trappc1,Rbm3,Ndufs8
Atp5h,Fen1,Mrps24
Cbx1,Fh1,Nudt21
Nudt21,Racgap1,Ssb
Uqcc2,1700017B05Rik,Cbx1
Spn,Cdc45,Cnih4
Dtl,Wdr1,Akr1a1
Ssrp1,Rbx1,Vasp
Dlgap5,Capza1,Surf4
Taf12,Snrpe,Psmd2
Ctla4,Spcs2,Ctla2a
Rfc3,Selenof,Ppih
Ctsb,Ppih,Tuba1a
Psmc1,Rad21,Prkar1a
Racgap1,Depdc1a,Polr2j
Atxn1,Lsm2,Lrrc59
Chaf1b,Lrrc59,Metap2
Tnfrsf9,Psmd14,Atp5md
Acsl5,Eloc,Ap3s1
Ndufs8,Psmd6,Acsl5
Orc6,Aldoa,Baz1a
Cenpf,Ccr2,Nek2
Ndufb6,Tceal9,Mtpn
Hopx,Clspn,Haus4
Cnih4,Cycs,Lag3
Snrpg,Supt16,Bzw1
Surf4,Ncapd2,Itgb2
Psmd2,Blmh,Taf10
Anapc5,Ap3s1,Ndufv2
Akr1a1,Surf4,Snrpa1
Higd1a,Bag1,Rfc5
Adap1,Arf5,Mrps14
Siva1,Cwc15,Capns1
Metap2,Uqcc2,Stard3nl
Baz1a,Pmm1,Ubl5
Cdc42se1,Tle5,Ccdc34
Stard3nl,Lbr,Cdc42se1
Polr2j,Acsl5,Dazap1
Icos,Srp9,Ndufs6
Ccl4,Ndufb11,Rac1
Tceal9,Ndufs5,Trappc4
Ppih,Tmed9,Pfdn1
Pkm,Cox8a,Etfa
Capns1,Sf3b5,Srsf9
Ndufs6,Dtymk,Ctsb
Etfa,Sem1,Elof1
Dera,Psmd2,Hcls1
Pfdn1,Cbx1,Dtymk
Anxa5,Cox7c,Ssrp1
Prelid3b,Ranbp1,Ccr5
Tkt,Mrpl54,Nudt4
Itgb2,Ndufb6,Anapc5
Ccl5,Palm,Pdcd5
Mdh1,Spn,Dapk2
Snrpa1,Tmed2,Cbx5
Nedd8,Micos10,Sae1
Hnrnpk,Hnrnpa2b1,Mrpl42
Dazap1,Ctsb,Prelid3b
Dtymk,Sae1,C1d
Ndufv2,Ap1s1,Hsp90aa1
Srsf9,E2f2,Atxn1
Atp5md,Trappc1,2610318N02Rik
Got2,Baz1a,Prdm1
