wilcoxon,t-test,t-test_overestim_var
Rbm39,Kmt2d,Tsc22d3
Kdm5b,Lysmd2,Sell
Mia2,Tet3,Bend4
Git2,Tprgl,Dus2
Pou2f2,Nrp1,Nrp1
Ifi208,Pan3,Zcchc2
4833420G17Rik,Cdkn1b,Ankrd12
Cd37,Rnf167,Pnpla7
Pglyrp1,Stap1,Pou6f1
Itpkb,Siah2,Tprgl
Fchsd2,Rpl7,Rnf167
Lgals3bp,Crebrf,Supt4a
Lcp2,Sell,Treml2
Tnfrsf25,Hpcal1,Xaf1
Rsbn1l,Ypel5,Cdkn1b
Cnn2,Zcchc2,Myl12b
Themis,Xaf1,Fam49a
Ankrd12,Celf1,Pan3
Ddx3y,Bend4,Ypel5
Eif4a2,Crbn,Armc3
Mcl1,Kbtbd11,Kbtbd11
mt-Cytb,Ssh2,Adamts6
Ms4a6d,Dus2,Crebrf
Trp53inp1,Fam49a,Cd200
Cxcr3,Akap9,Crbn
Gm11808,Psme1,Stap1
Rabgap1l,Pou6f1,Celf1
Ppdpf,Cnp,Psme1
Sp100,Pnpla7,Akap9
Tes,Git2,Hpcal1
Rps4x,Bcl11b,Git2
Bod1l,Lgals3bp,Filip1l
Ssh2,Cd27,Dpy19l3
Cmc1,Tnik,Tnik
Tnfrsf26,Cd37,Cnp
Wipf1,Per1,Ssh2
Jund,Nfkbiz,Lgals3bp
mt-Nd5,Armc3,Yeats2
Hsd17b10,Epsti1,Bcl11b
Ifi206,Gprin3,Gprin3
Ash1l,Tnrc6a,Per1
Dgka,Adamts6,Rpl7
Eif3k,Treml2,Cd27
Atxn1,Rnf114,Ddx58
Stap1,Yeats2,Parp14
Srrm2,Prkca,Rnf114
Trpc4ap,Rps15,Tnrc6a
Cdkn1b,Filip1l,Cd2ap
Tnrc6a,Prkcq,Cd37
Tgif1,Arpc3,Ccdc125
Lamtor2,Prdx6,Isg20
Slc38a2,Macf1,Lax1
Akap9,Ddx58,Nfkbiz
Trp53,Polr1d,Tlr1
Fermt3,4833420G17Rik,Rnf19a
Pan3,Kxd1,Epsti1
Hpcal1,Cd2ap,Rps11
Nfkbia,Parp14,4833420G17Rik
Rbm25,Rps11,Ifit3
Tnfaip8l2,Cd200,Togaram1
Gramd3,Cd8b1,Pcmtd2
Elk4,Cd5,Prkca
Lpxn,Rnf19a,Prdx6
Ostf1,Rfx7,Socs1
Arl6ip5,Dpy19l3,Prkcq
Ythdc1,Crlf3,Trim30d
Pabpc1,Lax1,Kxd1
Fam169b,Mrpl24,Znrf1
Crbn,Tlr1,Macf1
Rabac1,Ccdc125,Rps15
Nsd3,Cd84,Pitpnm1
Serp1,AB124611,Cd84
Arglu1,Smap2,Jarid2
Bcl2a1b,Jarid2,Vwa5a
Mrpl52,Pcmtd2,Mrpl24
Cstb,Nsa2,Gsn
Uqcc3,Lpxn,Smap2
Rps25,Togaram1,Rfx7
Elf1,Isg20,Ifih1
Cox14,Znrf1,P2rx4
Cd247,Stat1,Lpxn
Ppp1r18,Socs1,Itm2c
Il18r1,Itm2c,Crlf3
Ikzf2,Tnfaip8l2,Cxcr5
Hint2,Pitpnm1,Stim2
Eva1b,Trpc4ap,Cd5
Gpbp1l1,Pglyrp1,Dhx58
Pecam1,Ifit3,AB124611
Lamp1,Stim2,Nsa2
Slc25a36,Mia2,Trpc4ap
Map1lc3b,Trim30d,Batf
Npc2,Ifih1,Haghl
Slc38a1,Gsn,Polr1d
Glrx2,Gabarap,Stat1
Tbrg1,Klf6,Vamp5
Syf2,Itpr2,Phf11c
Clec2d,P2rx4,Nudt14
Scml4,Rac2,Tnfaip8l2
Rnf213,Batf,Usp18
Nmi,Vwa5a,Zup1
Ndufb1-ps,Vamp5,Zfp296
Bcl10,Zup1,Max
Gpi1,Clec2i,Itpr2
Arid4b,Stk17b,Coq8a
Prkca,Usp18,Mia2
Tnfaip8,Ddx24,Cdca7l
Celf2,Rpl8,Apol7e
Itgal,Maml2,Slc9a9
Scp2,Cdca7l,Clec2i
Cd2,Cxcr5,Ddx24
Cxcl10,Nudt14,Gldc
Ddx60,Atxn1,Cd8b1
Sla,Clint1,Maml2
Suclg1,Il18r1,Acpp
Rfx7,Max,Pglyrp1
Ms4a4c,Haghl,Isg15
Usp3,Dhx58,F2rl1
