gene_name,Chd7_1,Chd7_2,Chd7_3,Ctrl
Hmgb1-ps5,14.289344125499653,12.44684134815685,8.94381249364184,8.295141361056153
Bsn,56.71947470734605,63.710757000817495,74.0302523499777,58.295332787583135
Gm8134,0.0,0.0,0.0,0.6994594668571966
Tnk1,7.340549562831171,4.87344579430081,7.363583787235511,6.909070526269789
Fut1,1.048365964254355,1.369660995923885,0.0,1.1491425788251866
Vmn1r209,134.500476276477,129.8367860229615,139.4024291091095,138.77870167193632
Copg1,3052.754788345355,3171.96867523566,3195.73486423315,3068.75526543567
Deaf1,540.3851022116805,494.44263476706,608.7453662328285,497.259924840821
Slc25a16,396.0496868956525,443.76439705152853,436.2209073205735,428.782483046067
Idi1,552.006366442187,686.9363149219695,591.0695967197955,549.6772309643201
Gm13365,0.0,1.4191959123861753,0.391936339594194,0.0
Atp11b,4622.05473690715,4343.266732019895,4904.881181481295,4281.8169334699305
Gm8031,0.0,0.455426448204309,0.0,1.0354358588299835
Cd53,6107.66799151558,5949.120469902095,5720.54717499861,6559.071374151489
Mical2,364.0297336445785,294.42403974578497,343.236960086822,362.34693321175064
Cnpy1,0.0,0.0,0.0,0.0
Gm11353,6.385568823698315,14.343768773561852,20.25962944837005,1.81295735075364
Gsto1,120.017558192708,193.3095674520535,178.879091275082,188.84594734268035
Sccpdh,26.2650526135683,24.613340513679752,35.8807079768135,48.01435145426982
CT025692.1,0.0,0.0,0.0,0.0
Gli2,0.0,0.0,0.0,0.0
Cenpv,203.0120462275995,252.66057050928998,188.74253720185447,163.88760592117265
Mbp,3365.744087329895,2989.16023649434,2951.2410698909,3191.3629382175736
Zc3hav1,11413.063755104049,11795.7094024937,11163.764200114001,11215.443098655975
Tmem176b,32.26422518894195,20.68951552429855,22.896185246440048,23.75437462910013
Nup205,3416.5631743492345,3902.0965672776447,3656.136985631555,3353.9992592034528
Gm10298,0.0,0.893499084530505,0.0,0.39149155594668333
Gm13368,0.0,0.0,0.0,0.0
Gm8976,0.510081550492405,1.0063084688678001,1.419248792266127,1.01802583980003
Adamts20,0.395031687854752,4.3227872504712,0.7539598993798899,3.50648509812904
Gm31230,0.0,0.0,0.0,0.0
Gm42795,0.0,0.0,0.0,0.0
Gm44540,0.0,0.0,0.0,0.0
Exoc8,1026.760329680995,983.0734728370526,1001.5855205031401,1062.79007816888
Mst1,10.365140883348156,26.2097883231992,12.359244370277874,16.321058588576598
Vmn1r210,7.33991735649198,5.680099359928009,8.56744514089942,10.970471905434978
Gm6587,0.540769788498045,0.0,0.0,0.0
Malrd1,0.0,0.0,0.0,0.0
Rufy1,288.396048923389,320.8434553755835,274.41339536848,284.1295826818496
Sprtn,1024.5447131467245,908.7235826271515,999.0582978258865,956.9142592490977
Cfap43,2.4250427056238704,5.1540221073256705,3.763200885606995,2.9047277884576066
Gm16128,2.6373227628708946,5.700428886705165,1.95694762937711,3.6928782921540932
Gm15143,0.0,0.0,0.0,0.0
Camsap3,3.05033579932838,8.741948106212895,12.310638582692501,6.5056100266251
Gm5947,0.0,0.0,0.0,0.0
Gm15140,0.0,0.0,0.0,0.0
Gm5645,0.0,0.0,0.0,0.0
Zfp202,80.8578629095759,66.76520668868116,69.50621452266574,58.056829741354505
Rpl18a-ps2,0.0,0.0,0.0,0.0
Zdhhc15,783.4896644845174,858.6151022228896,774.8403088815751,890.128560362798
Gm16445,0.0,0.0,0.0,0.0
Kcnip4,2.7635244480310446,4.008186551708185,3.9875811632431,6.791583482858201
Gm11233,0.0,0.0,0.0,0.0
Gm6620,0.0,0.0,0.0,0.0
Cep126,0.0,0.0,0.0,0.38257180296667
Gm15147,0.0,0.0,0.0,0.0
Gm5060,0.0,0.0,0.0,0.0
Fam205a1,0.0,0.0,0.0,0.0
Terf2,594.351029823238,553.005622464491,610.0862763881885,571.7473404458319
Ankrd44,12507.6179296675,11455.02420258135,12779.29062062575,11915.187879999832
Gm19571,0.0,0.0,0.0,0.0
Vmn2r125,0.0,0.0,0.0,0.0
C87114,0.0,0.0,0.0,0.0
4930578G10Rik,12.029757462962284,6.535362054673439,7.422365424506055,12.089850430303388
Crtc3,829.4504229145125,675.54627007289,872.1876368874325,823.8755996351887
