gene_name,Chd7_1,Chd7_2,Chd7_3,Ctrl
Slc35b2,36.443727499999994,35.72144899999999,41.049644,38.813656333333334
Slc35b3,38.411601000000005,29.5261535,35.5693545,36.30543966666667
Slc35b4,15.2323275,15.630671999999999,14.851573499999999,16.30161133333333
Slc35c1,22.12919,23.285893,21.286554,21.666413333333335
Slc35c2,20.8548215,17.586268000000004,20.984394,21.42136066666667
Slc35d1,10.2488585,8.385921999999999,9.509438,8.635384
Slc35d2,27.4327635,20.5431435,24.804758,23.04014833333333
Slc35d3,0.22325250000000002,0.142177,0.0998,0.18349833333333332
Slc35e1,51.783516000000006,53.4072405,48.846323500000004,47.40421
Slc35e2,16.5781135,15.564263,14.931666,13.940665666666668
Slc35e3,5.9837765,4.0736775,5.641100000000001,4.938707
Slc35e4,1.7974845,2.1275519999999997,2.163867,2.531007666666666
Slc35f1,0.272224,0.2308035,0.20188,0.16852666666666663
