paga1,paga2,X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_paga1,X_paga2,velocity_paga1,velocity_paga2
13242.95625626562,-20215.680477494225,-13.34056,4.611727,1.2349875,-2.5538788,0.7521887,0.80733883,-0.115857676,1.4578754,-0.005038921,0.40954822,-0.366546,0.42211035,0.26880163,-0.21800451,-0.17191093,-0.32336277,-0.17344373,-0.14523771,0.020576438,0.044409692,-0.22249827,0.12366957,-0.4559376,-0.7545475,0.052495442,-0.20777169,-0.33691832,0.15529096,0.32825315,0.1547256,13242.95625626562,-20215.680477494225,-115.69217212369179,312.54989965027846
4096.899118556943,46288.554939934766,-5.4193754,-0.97376907,-0.6407528,1.4195145,0.21496084,-0.48183584,-0.21037315,-1.2756374,-3.3973546,-0.5770847,-0.8119921,0.58130586,-1.4629844,1.5720243,-0.050714,0.0968471,-0.24938618,-0.2833397,-1.0475345,0.049086187,-0.7567798,0.7025042,-0.21347724,-0.07058407,-0.46746495,0.4070402,0.44531032,-0.051653728,-0.30634558,0.80506736,4096.899118556943,46288.554939934766,-60.677569810481906,-14.74451211150328
1711.8243073900244,36412.72710977909,-6.2008224,-0.73806643,-2.0937672,1.464998,-1.0327773,-0.02906805,0.6305941,0.20537245,-2.1811268,-0.4511625,-0.7143931,0.6816096,0.03281423,1.7853999,-1.1948671,0.14774375,-0.111622356,-0.09584364,0.75652856,-0.52324444,-0.50303197,1.0995805,0.95830005,0.62235713,-0.3195576,0.72975427,0.09213984,0.53398365,-0.43054128,-0.65971005,1711.8243073900244,36412.72710977909,-52.42928697444607,118.83628467630312
52252.289172248675,47237.4109318434,7.6527467,-5.172816,-0.20618753,-0.08720492,-0.32821137,0.6336816,-0.94486725,-0.4233671,0.71777046,-0.40045613,-0.44140032,1.0786061,0.1506716,-1.3450792,0.59826094,0.2094333,0.14689851,-0.2610519,0.3881361,-1.2843808,0.030632192,0.14072542,0.88272893,-1.2653611,0.31516775,-0.86299056,-0.22485186,-0.19651364,0.6442408,-0.32671428,52252.289172248675,47237.4109318434,275.52576552664465,-534.2286928994621
13304.828089704624,-20446.74782736189,-14.440768,4.7415485,1.1090118,-3.1856072,0.53678626,0.6504156,2.0726101,2.325126,1.3719192,0.14279206,0.6172737,-0.4318209,1.0156821,-0.65150005,-0.4046666,-0.3330194,-0.2686283,-0.23095214,0.8658675,-0.3926605,-0.102839656,-0.03561383,-0.3383424,-0.44278935,0.36836538,0.27980348,-0.14689963,-0.32576436,0.5617236,-0.1607429,13304.828089704624,-20446.74782736189,-119.21600590204649,209.97799498526356
12919.235260700747,-6349.839656806229,-9.531874,2.0010118,-1.0573391,-0.93890846,0.9151868,-1.6542853,0.585159,2.2444627,0.054300305,-0.9815625,-0.2234396,-1.0001025,0.09034803,-0.98395956,0.46682084,0.8249241,-0.025348676,-0.002925761,0.73769015,0.08363575,-0.5892818,-0.23602164,-0.010118129,-0.20286562,-0.6037897,0.21275395,0.38411045,0.026841592,0.0001629241,-0.1922448,12919.235260700747,-6349.839656806229,-128.10340915634868,501.3244017708073
49873.523237744404,49769.300263454104,6.0175524,-4.6383724,0.331237,0.94407946,-2.362935,1.8093561,-1.692013,0.55897725,1.0365295,-0.022596711,0.91037536,0.43739417,1.0773412,1.0721887,-0.75309896,-0.42351595,0.6591635,0.1517162,0.5792178,0.9742322,-0.74317247,1.2050565,1.4641633,0.7812627,0.17519417,0.06594761,-0.38172528,-0.62240696,-0.20674545,-0.48618472,49873.523237744404,49769.300263454104,671.0399982650879,-441.47676732885844
4825.049940827135,32108.660423162954,-6.851746,-0.85815394,-0.8328329,1.7953761,-0.44171244,-2.077876,1.238868,-0.5789822,-0.7477318,-1.7039944,-0.6894621,0.5264978,-0.003286015,1.4584714,0.5861909,0.15536433,0.016211402,-0.21410978,0.5449779,0.41775897,-0.15645982,-0.32927018,0.14018269,0.14631729,-0.32075885,0.041104324,0.05338385,-0.5114801,-1.4968284,-0.089360885,4825.049940827135,32108.660423162954,-171.96626861583778,201.0324289554241
33848.954299694866,37857.34407365423,0.47402373,-3.692194,-0.10085092,1.7213897,0.52795845,-1.7972894,-2.6259549,-0.142587,-1.1213064,2.1199737,1.062463,0.4219261,0.3358789,-1.3647243,0.2626929,-0.8675445,-0.11709948,-0.2849144,0.8213994,-1.6648453,0.65265805,-0.3156672,-0.16263969,-0.7462149,0.26989466,-0.50733584,-0.034014057,1.287879,1.5705916,-0.7350808,33848.954299694866,37857.34407365423,523.8731287391713,28.869268216927363
44415.355661688016,40400.09605383941,4.325664,-4.832555,-2.17325,-0.7256185,-0.13192628,-0.42956877,-1.1968228,0.96295696,0.8547602,0.80882245,-0.33619896,-0.54638064,0.22386698,-0.84392416,-0.23613322,-0.5474125,-0.31598744,-0.3393219,-1.0904657,0.5667378,-0.46684483,-0.3688445,-0.8060411,-0.6066294,-0.7115311,0.85834,-0.19846444,0.9304289,0.06422325,0.32789436,44415.355661688016,40400.09605383941,316.5302791290728,-327.1072562035332
