gene_name,0_A5P,0_A5T,0_A8P,0_A8T,0_C5P,0_C8P,0_NP14B,10_A5P,10_A5T,10_A8P,10_A8T,10_C5P,10_C8P,1_A5P,1_A5T,1_A8P,1_A8T,1_C5P,1_C8P,2_A5P,2_A5T,2_A8P,2_A8T,2_C5P,2_NP14B,3_A5T,3_A8P,3_A8T,3_C8P,3_NP14B,4_A5P,4_A5T,4_A8P,4_A8T,4_C5P,4_C8P,5_A5P,5_A5T,5_A8P,5_A8T,5_C5P,5_C8P,6_A5P,6_A5T,6_A8P,6_A8T,6_C5P,6_C8P,6_NP14B,7_A5P,7_A5T,7_A8P,7_A8T,7_C5P,7_C8P,8_A5P,8_A8T,8_C5P,8_C8P,9_A5P,9_A5T,9_A8T,9_NP14B
Ptpn18,0.4129717,0.48587456,0.55622274,0.523686,0.36448234,1.2056117,0.7850114,0.6027747,0.67200655,0.61831915,0.6534887,0.42823568,1.4002466,-0.31846607,-0.0030143221,-0.069100186,-0.27945685,-0.30215657,0.42883438,-0.5263709,1.434676,0.35262328,0.2810994,-1.1442721,-0.38756147,1.200036,0.63402873,-0.07035426,-0.15998046,-0.12110474,-0.76752293,-0.3905352,-0.007730928,-0.35819906,-0.7310096,0.09772417,-0.42336583,-0.28874356,-0.104244106,-0.21661462,-0.40340072,0.41740128,0.040110767,0.15442449,0.112186365,0.26237673,-0.35349172,0.39915335,0.6350583,0.10791651,0.27615595,0.29658443,-0.03429159,-0.11354723,0.31606355,0.98062253,0.5227555,0.21834745,0.5834425,0.5903274,0.12937959,-0.02131015,0.35185203
Arhgef4,0.08968347,-0.06455449,0.06433467,-0.03662555,-0.17165639,-0.2265617,-0.24555737,0.07137796,0.10322527,-0.17691697,-0.20605612,0.07316849,-0.046793208,-0.07542613,-0.085308924,-0.034985155,-0.13719605,-0.07352908,-0.067426294,-0.20807694,-0.22883898,0.15674093,0.120461956,-0.23450507,-0.24580836,-0.23964727,-0.078329675,-0.23747605,-0.2375856,0.047491807,-0.049972076,-0.10113763,0.008173484,-0.02739016,-0.12236117,-0.07996015,-0.068281986,-0.13527727,-0.2299678,-0.021156099,0.04392385,0.053470176,-0.0003265824,0.058143675,0.15351054,0.13829269,-0.023577433,0.09268274,-0.23235635,0.12333713,-0.16375707,0.4065315,-0.037303645,0.0024776282,0.025104573,-0.22270578,-0.2088724,-0.047053363,0.0037439542,-0.22639884,0.0071111894,0.006487734,-0.22118792
Hs6st1,-0.18071373,-0.063482344,0.021156795,0.0049116346,-0.19380343,-0.21875617,-0.2273891,0.023427024,0.054032017,-0.1961942,-0.20943703,0.04383723,0.15201658,-0.09007807,-0.10609997,-0.07072246,-0.19827653,-0.035065193,-0.15461998,-0.21035543,-0.21979111,-0.16513394,-0.108935274,-0.22236618,-0.22750317,-0.22470315,1.8640692,-0.2237164,-0.2237662,0.2691186,-0.0028559333,0.03834842,-0.20308769,-0.19668649,-0.027974868,0.008337971,-0.03167857,-0.09957915,-0.22030413,-0.21455172,-0.09371517,-0.20916791,0.05432816,0.21799433,0.86547214,0.24833381,-0.04060762,0.072599426,0.91098076,0.28887,-0.07738916,0.1428634,-0.03824747,0.028895177,0.101785816,-0.21700378,-0.21071693,-0.04730617,-0.11889707,-0.21868216,0.22520828,0.23426515,-0.21631396
Neurl3,0.19364658,0.32289138,0.16528611,0.21443795,0.04133232,0.092056185,-0.7437738,0.27120948,0.49421632,0.21423365,0.15551087,0.14821127,0.15618253,-0.055887636,-0.09033498,-0.3409552,-0.20761438,-0.09070232,-0.25976905,-0.63759327,-0.19306983,-0.31747475,-0.20894414,-0.712463,2.4709864,-0.7270307,3.0683892,-0.28923896,-0.7211901,0.17805615,-0.20543404,-0.19838059,0.03167671,-0.14241326,-0.29673228,-0.22168577,-0.17556474,-0.18339118,-0.50404423,-0.37163645,-0.2768736,-0.13475004,0.040811144,0.00045098783,-0.1384759,-0.02101322,-0.009824792,-0.016935496,0.26643974,-0.19951038,-0.0094518075,0.11350855,0.15049504,-0.20003217,0.05845863,-0.6790362,0.24224961,-0.0970233,-0.13210523,1.5105166,0.6004833,0.55481,0.25516322
Arid5a,0.10321695,0.44420812,0.10317361,0.12484289,-0.3842077,0.5050385,-0.8942152,0.23015575,0.32130912,-0.50866985,-0.5676439,0.20361766,0.54692894,-0.04866288,0.070669524,0.08252246,-0.13091606,0.035592437,-0.20650145,-0.79290646,0.88860595,0.11029845,-0.030060127,0.021790236,-0.8948937,-0.87824035,-0.44220245,0.5395189,-0.87266773,-0.1936089,-0.25308365,-0.14051333,-0.39911118,-0.31684634,-0.18111557,-0.38963798,-0.24033734,-0.15538593,-0.69348806,-0.031635925,-0.2257908,-0.14297666,-0.06911826,-0.022134129,0.3936066,0.35172546,-0.09631926,-0.026543166,0.18257034,0.15183371,0.35343087,0.9136441,0.037109155,0.065027826,0.13379799,-0.83244795,0.040120974,-0.0037787706,-0.3072101,-0.84243023,0.6499572,0.40053844,1.165327
Kansl3,0.24875872,-0.014483261,-0.022319887,-0.01528234,0.3196465,0.12209427,-0.59465677,-0.018128665,-0.030479101,-0.2979641,0.09100976,0.1206503,-0.12913407,-0.09702799,-0.15267506,0.0150214685,-0.19372402,0.00021072256,0.207268,-0.57630605,-0.5864713,0.12217516,0.13003908,-0.58924544,-0.5947797,-0.59176314,0.3326854,0.2473752,-0.59075373,-0.060291875,-0.086430214,-0.050936375,0.31645355,0.3591857,0.054067027,0.52241516,0.007640928,-0.13121432,0.20596944,-0.50694495,-0.13133518,-0.11390462,0.024235247,0.14556503,0.17989191,0.13939251,0.10260921,-0.0032036589,0.5429568,0.010931406,0.033662952,-0.23883471,0.13011163,0.06700766,0.19585438,-0.58346844,0.038781445,0.14061214,0.008837323,-0.5852766,0.08409123,-0.24173553,0.5739863
Cnnm3,-0.30934444,0.0027020401,0.01995113,0.063284695,-0.31195456,-0.31693017,-0.3186516,0.023768457,-0.07871635,-0.31243128,-0.3150719,-0.20127636,-0.30063924,-0.11322735,-0.14856257,-0.06772456,-0.21382499,-0.15041904,-0.16948746,-0.31525505,2.2644737,-0.023514811,0.094411746,-0.31765,-0.31867433,-0.318116,-0.30349714,0.9827562,-0.31792918,0.112999246,0.07437677,-0.020252135,-0.04874929,0.024663387,0.06106936,0.021909969,0.0049884296,-0.07546593,-0.31723884,-0.31609178,-0.08961787,-0.16665556,0.097387,0.21418962,-0.31788763,-0.31717458,0.23539057,0.08360059,0.24914289,0.11702369,0.25665438,0.06399982,-0.041113663,-0.09347429,-0.042369373,-0.31658074,0.08855051,0.32843703,0.117581,-0.31691542,0.016176835,-0.18735075,-0.3164432
Ankrd23,-0.057310987,-0.001876198,-0.04356553,-0.027817316,-0.06653999,-0.08413311,-0.09021983,0.021269249,0.016070992,-0.06822562,-0.07756258,-0.009287799,-0.026530504,-0.04336733,-0.051183004,-0.07142767,-0.06969379,-0.013384477,-0.068559274,-0.07821011,-0.08486281,-0.06809088,-0.040130384,-0.08667838,-0.09030026,-0.08832608,-0.036635626,-0.08763036,-0.08766547,-0.018607004,0.0038351002,0.03214325,0.4816029,-0.068572715,-0.059134983,-0.07070833,0.009996792,-0.03598479,-0.085224524,-0.08116873,0.051711086,-0.07737284,0.0031628835,-0.021661563,-0.087518625,-0.08499739,-0.01909155,0.32925177,-0.08598988,-0.050532762,-0.06400884,-0.08188847,-0.07826585,0.023968395,0.01064924,-0.08289758,-0.07846499,-0.06669179,-0.033207923,-0.08408093,-0.083295435,0.037806623,-0.082411215
Vwa3b,-0.05790559,0.0033898258,-0.093845166,-0.07618354,-0.070605725,-0.09481581,-0.10319182,0.04763657,-0.0031273256,-0.07292534,-0.085774034,0.008179664,-0.015548218,-0.011565141,-0.0494728,0.09777569,0.091633715,-0.04572157,-0.015273675,-0.0866651,-0.09581998,-0.099331915,-0.09929686,-0.09831838,-0.10330249,-0.1005858,-0.02945399,1.0225573,-0.099676736,0.0606892,-0.020906482,0.017666362,-0.07961367,-0.07340298,-0.01981615,-0.076341815,-0.02930664,-0.06420803,-0.096317716,-0.09073649,-0.06850284,-0.085512936,0.016308567,-0.008848012,-0.09947466,-0.096005164,-0.0053113895,-0.013361816,-0.09737093,-0.048577994,-0.06712258,0.4127726,-0.08674181,-0.035303257,0.08499522,-0.09311558,-0.08701585,-0.070814624,-0.061869994,-0.09474401,-0.012579192,0.27332804,-0.0924463
Inpp4a,0.092845775,0.33920935,-0.026339993,-0.029453274,0.5768886,-0.44322556,-0.4407646,0.17933224,0.0025579145,1.3418244,0.8629171,-0.15231423,0.5312058,0.089096464,0.13156156,0.3087575,0.024620026,0.20337312,0.086392544,-0.44562033,-0.44293055,0.19384278,0.10057516,-0.4421965,-0.4407321,-0.4415303,0.5926204,0.020385172,-0.44179738,-0.18530759,-0.09609685,-0.14229304,0.03586997,-0.32873666,-0.21713153,-0.3729741,0.03358825,-0.025158133,0.24457978,0.029588072,-0.072049715,0.059985556,-0.0861032,-0.1376477,-0.44185674,0.12803242,-0.033592027,-0.36556327,-0.44247484,0.06713801,-0.15038253,-0.1319227,0.19232734,-0.0063117547,0.15182097,-0.4437251,0.2651398,-0.0430139,0.041264486,-0.44324666,-0.23063882,-0.3959605,-0.44392174
