wilcoxon,t-test,t-test_overestim_var
Gm16286,Ncl,Ppp1r14b
Arl3,Birc5,Ybx1
Csnk1a1,Acat1,Cct2
Rlim,Ybx1,Nt5e
Frat2,Serf2,Birc5
Dnaja1,Ppp1r14b,Nrp1
Prdx2,Nrp1,Rps6
Utrn,Cenpa,Gm16286
Cct5,Tnp2,Cenpa
Ap3s1,Frat2,Frat2
Ubc,Cct2,Cd22
Hmgn5,Rps6,Rpl29
Icam1,Gm16286,Psat1
Eml4,Plxdc2,Eif5a
Castor1,Psat1,Ifi27l2a
Usp18,Treml2,Orai1
Fbl,Cd72,Fbl
Vps35,Orai1,Cd72
Polr2h,Eif5a,Aicda
Sept6,Rpl29,Plxdc2
Cd5,Fbl,Metap2
Parp1,Ifi27l2a,Bcl10
Bloc1s2,Emc9,Josd2
Nfat5,Josd2,Grap
Eif2s1,Bcl10,Emc9
Psen2,Grap,Ap3s1
Snrpg,Metap2,Cct5
Ccdc28b,Ap3s1,Jun
Mns1,Parp1,Gpx1
Arid5a,Gpx1,Tnp2
Ythdc1,Jun,Parp1
Riok1,Arl3,Treml2
Gpr132,Scml4,Ythdc1
Csrnp1,Cct5,Sept6
Marcksl1,Espn,Arl3
Cd72,Ythdc1,Snrpf
Josd2,Sept6,Csnk1a1
Ms4a6d,Cd5,Cd5
Rsu1,Vps35,Scml4
Fam189b,Uchl3,Uchl3
Eef2,Rlim,Eif2s1
Bcl10,Snrpf,Vps35
Vps13a,Csnk1a1,Rlim
Metap2,Eif2s1,Dnaja1
Dusp1,Zbtb21,Atpif1
Eif2a,Dnaja1,Utrn
Rps7,Atpif1,Ube2d2a
Atpif1,Tent5c,Eml4
Ubfd1,Utrn,Tent5c
Gm9844,Eml4,Mrps16
Uchl3,Ube2d2a,Espn
Tspan13,Strbp,Scp2
Rnf145,Pou6f1,Vps13a
Anp32b,Bphl,Zbtb21
Sqstm1,Tmem141,Polr2h
Tnfrsf26,Prelid2,Strbp
Asf1a,Vps13a,Eif5
Cdv3,Mns1,Cdv3
Asnsd1,Polr2h,Prelid2
Ifi211,Ccdc28b,Mns1
Zfp36,Ube2c,Snrpg
Emc9,Cdv3,Ube2c
Rest,Scp2,Aurkaip1
Kpna1,Mrps16,Pou6f1
Washc3,Sik1,Ccdc28b
Sell,P2rx7,Bphl
Pabpc4,Armcx2,Sik1
Sik1,Eif5,Decr1
1190007I07Rik,Kif15,Tmem141
Atp6v1d,Decr1,Hpcal1
Snx6,Snrpg,Ubc
Pgk1,Aurkaip1,Kif15
Rnf157,Hpcal1,Sidt1
Scp2,Sidt1,Asf1a
Vcp,Tnfsf11,Riok1
Decr1,Asf1a,Nit2
Birc5,Nit2,Vcp
Etv3,Ubc,Armcx2
Slc25a36,Riok1,Glrx3
Park7,Parp8,Atp5b
Slc25a3,Vwa5a,Washc3
Fkbp4,Rnf157,Tspan13
Srsf6,Icam1,P2rx7
Oas1a,Vcp,Thrap3
Zfp62,Insig1,Rnf157
Ddx5,Tspan13,Icam1
Psmg1,Cpm,Parp8
Glrx3,Washc3,Fam104a
Uhrf2,Glrx3,Anp32b
Pabpc1,Atp5b,Insig1
Aurkaip1,Gpr132,Gpr132
Rpl19,Anp32b,Bloc1s2
Brd8,Thrap3,Ddx5
Xrcc5,Fam104a,Tnfsf11
Thrap3,Sh2b3,Pnrc1
Tob1,Bloc1s2,Eif2a
Ndufb9,Ddx5,Rnf145
Nampt,Rnf145,Chchd2
Rsrc2,Cd200,Nfat5
Yeats4,Crppa,Hnrnpdl
Fam104a,Tob1,Vwa5a
Pecam1,Nfat5,Rsrc2
Kcnn4,Chchd2,Cpm
Nit2,Cdca8,Rpl19
Mrps16,Eif2a,Tob1
Hnrnpdl,Pnrc1,Sh2b3
Ube2d2a,Hnrnpdl,Pgk1
Timm8b,Akr1e1,Atp6v1d
Tank,Pou2af1,Cd200
Nsf,Rpl19,Coa3
Dbi,Nbn,Pabpc4
Tmem173,Pabpc4,Cdca8
Gclm,Rsrc2,Akr1e1
Scml4,Pgk1,Psmg1
Gramd3,Atp6v1d,Sumo1
Nr4a1,Psmg1,Nbn
Glo1,Coa3,Fkbp4
Cacybp,Synpo,Xrcc5
Mrpl11,Cpne3,Gm9844
Socs1,Xrcc5,Asnsd1
Stim2,Gm9844,Cpne3
Rpap3,Fkbp4,Ms4a6d
Eif5,Sumo1,Eef2
Smad7,Ms4a6d,Crppa
Pnrc1,Asnsd1,Pou2af1
Ap3b1,Tnfrsf23,Ndufc2
Polr1d,Slc7a1,Cacybp
Tmem230,Cacybp,Hmgn5
Hsdl2,Gclm,Slc7a1
Ncoa7,Hmgn5,Gclm
Cd7,Eef2,Sqstm1
Pop5,Ndufc2,Sptbn1
Gm8369,Creg1,Psen2
Sumo1,Phpt1,Srsf6
Tle3,Izumo1r,Slc25a3
Cd2ap,Tnf,Synpo
Prdx3,Sqstm1,Creg1
Abhd8,Psen2,Phpt1
Ranbp2,Srsf6,Ubfd1
Slc7a1,Sptbn1,Dbi
Sptbn1,Ubfd1,Usp18
Cpne3,Usp18,Zfp36
Prps1,Zfp36,Hint1
Wdr12,Arhgap5,Snx6
Cnpy2,Rpap3,Smad7
Impdh2,Ldhb,Tnfrsf23
Hint1,Dbi,Tnf
Rsl1d1,Slc25a3,Rpap3
Lef1,Smad7,1190007I07Rik
Eif4a2,1190007I07Rik,Fam189b
Prelid2,Msl3l2,Timm8b
Ptges3,Snx6,Izumo1r
Strbp,Hint1,Arid5a
Elovl5,Ano10,Park7
Coq10b,Fam189b,Txn2
Hivep2,Arid5a,Rest
Slc4a7,Rest,Pop5
Hadha,Timm8b,Eif4a2
Ppil3,Irak1bp1,Yeats4
Acot7,Txn2,Ano10
Eif4a1,Park7,Arhgap5
Rdm1,Pop5,Gramd3
Nfkb1,Eif4a2,Rsu1
Ndufc2,Rsu1,Smarce1
Cwc15,Yeats4,Prdx6
Insig1,Samd3,Csrnp1
Hnrnpk,1700025G04Rik,Pabpc1
Smarce1,Csrnp1,Prdx3
Tsc22d2,Gramd3,Tcp1
Rpl9-ps6,H2-Oa,Msl3l2
Relb,Smarce1,Hnrnpk
Trbc2,Prdx3,Ldhb
Wdr89,Lta,Glo1
Tma7,Wdr12,Uhrf2
Txn2,Prdx6,Rsl1d1
Gstt2,Tcp1,Hadha
Sfxn1,Glo1,Wdr12
Qrich1,Pabpc1,Myl12b
Coa3,Il6st,Irak1bp1
Etv6,Uhrf2,Kcnn4
Rnf19a,Hnrnpk,Ptges3
Impa2,Mapk11,1700025G04Rik
Snrnp25,Gzmm,H2-Oa
Trpc4ap,Rsl1d1,Impdh2
1600002K03Rik,Kcnn4,Hsdl2
Furin,Hsdl2,Ranbp2
P2rx4,Ccnb2,Il6st
Ing2,Ptges3,Ccnb2
Sod2,Hadha,Slc16a1
Zfp622,Impdh2,Ssu72
Mafk,Slc16a1,Relb
Mgat5,Thada,Samd3
Nol11,Myl12b,Eif4a1
Ubb,Dnah8,Thada
Chrac1,Relb,Eif3l
Tars,Fam81a,Tank
Cmas,Cdc20,Rpl39
Fibp,Epcam,Lysmd2
Dpm1,1700019D03Rik,Lef1
Atp5pb,Lysmd2,Dnah8
