gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Lmbrd1,0.12837183,0.4111990186491949,1.3866694,0.12837183,0.7410753199440251,0.49348417,0.12837183,0.8754220441127128,0.33639434,0.01375291
Gm28237,,,,,,,,,,
Gm29414,,,,,,,,,,
Adgrb3,,,,,,,,,,
4931408C20Rik,,,,,,,,,,
Gm5524,,,,,,,,,,
Gm597,,,,,,,,,,
Gm9898,,,,,,,,,,
Phf3,-0.039560515,0.9515200111765304,0.6218798,-0.039560515,0.8623448814835364,-0.26982284,-0.039560515,0.932948263380084,-0.18682837,-0.0020446866
Ptp4a1,0.41807932,0.0107892445981812,3.0551732,0.41807932,0.0460406630310978,2.4326663,0.41807932,0.2670164498556034,1.7393379,-0.0067433757
Gm29669,,,,,,,,,,
Gm28644,,,,,,,,,,
4931428L18Rik,,,,,,,,,,
Gm29128,,,,,,,,,,
Lgsn,,,,,,,,,,
Pih1d3,,,,,,,,,,
Khdrbs2,,,,,,,,,,
Gm5415,,,,,,,,,,
Gm37724,,,,,,,,,,
Gm37591,,,,,,,,,,
Prim2,1.1944008,0.0031097617496326,3.4510853,1.1944008,0.000273168753704,4.1486483,1.1944008,0.0051839777024923,3.42257,-0.011259693
Rab23,1.3910075,0.6625567022696051,1.0173233,1.3910075,0.1059759592925876,2.0259128,1.3910075,0.303920217026232,1.6530812,0.0014431012
Bag2,1.6328807,0.2463952981252087,1.718198,1.6328807,0.0114308759035855,2.994231,1.6328807,0.0603281929436847,2.513486,0.007238199
Zfp451,0.027603997,0.5973318473425754,1.1037409,0.027603997,0.950602483284962,0.10111157,0.027603997,0.9772507997756666,0.06794368,0.01364323
Bend6,1.1249683,0.9981504476998344,0.06907171,1.1249683,0.7247923377624182,0.522463,1.1249683,0.8340643380587975,0.4358025,0.0022727076
Dst,-21.181896,0.9981504476998344,-0.046412442,-21.181896,0.1850685155896296,-1.6845413,-21.181896,0.7728987357721154,-0.6163539,-0.00012996851
Gm37958,,,,,,,,,,
Gm37233,1.582011,0.9981504476998344,0.25339317,1.582011,0.405722457491312,1.1215583,1.582011,0.6525598676881137,0.94784456,0.00042802055
Ccdc115,0.19931147,0.1477423001810052,1.9965163,0.19931147,0.3542283691375503,1.2287489,0.19931147,0.6879895072963873,0.86697257,-0.00951718
Gm28306,,,,,,,,,,
Imp4,0.45437652,0.0037464572983326,3.3955312,0.45437652,0.0129629162613976,2.9425235,0.45437652,0.136046743448422,2.1292088,-0.0035872792
Ptpn18,-0.54029214,1.796285533768235e-13,-7.7833037,-0.54029214,1.242983600131433e-12,-7.9000664,-0.54029214,3.6074173915549904e-07,-5.7438884,0.0024380449
4930568A12Rik,-0.12569626,0.9981504476998344,0.037817545,-0.12569626,0.9609345048134048,-0.08104209,-0.12569626,0.982507022709292,-0.053088773,0.00018859397
Prss39,,,,,,,,,,
Cfc1,,,,,,,,,,
Prss40,,,,,,,,,,
1700101I19Rik,,,,,,,,,,
Amer3,,,,,,,,,,
Arhgef4,-0.4016912,0.9981504476998344,0.019846397,-0.4016912,0.6344212913896986,-0.6864556,-0.4016912,0.8309416227386319,-0.44553682,0.0004578201
Gm38336,-21.143034,0.9981504476998344,-0.077354066,-21.143034,0.0988208511680126,-2.0523348,-21.143034,0.734061731398152,-0.7509253,-0.0012310582
Fam168b,0.16056648,0.1462132594817718,2.0017514,0.16056648,0.5180094371606533,0.89906365,0.16056648,0.7719269188657258,0.62060875,0.0100694625
Plekhb2,0.75407237,0.0009780488479878,3.7862082,0.75407237,0.0017355522920341,3.613999,0.75407237,0.0392290220482545,2.6959703,-0.0025473195
Gm37068,,,,,,,,,,
Gm28415,,,,,,,,,,
1110002O04Rik,,,,,,,,,,
Gm37146,,,,,,,,,,
Gm33222,,,,,,,,,,
4930535G08Rik,,,,,,,,,,
Hs6st1,-0.85917604,0.9981504476998344,-0.080635756,-0.85917604,0.2195082685771394,-1.5706335,-0.85917604,0.6497554068158495,-0.9544566,0.0073670964
Gm37335,,,,,,,,,,
Gm33280,,,,,,,,,,
Uggt1,0.20266339,0.1602995068112321,1.9532293,0.20266339,0.4547970620114912,1.0219083,0.20266339,0.7474376352838223,0.71061933,-0.006070404
Neurl3,-2.2688336,0.0245895861632068,-2.7630248,-2.2688336,6.971496223751115e-21,-10.032911,-2.2688336,4.763322930524721e-05,-4.731376,-0.017354485
Arid5a,-0.87810904,0.7703764597443821,-0.87113184,-0.87810904,0.0006092182898097,-3.9011729,-0.87810904,0.0900989089115649,-2.3345547,0.0057910094
4930403P22Rik,-23.187243,0.9981504476998344,-0.24753302,-23.187243,0.0004149228732068,-3.9720333,-23.187243,0.3983801739742614,-1.4533205,-0.0005721647
Kansl3,0.25226787,0.1069936635561912,2.1550531,0.25226787,0.365782122514712,1.204347,0.25226787,0.7031731895909319,0.83150613,0.024761744
Fer1l5,,,,,,,,,,
Lman2l,-1.2031051,0.9981504476998344,-0.5322585,-1.2031051,0.0076838250900816,-3.1182077,-1.2031051,0.2589879795130014,-1.7609303,-0.009323161
Cnnm4,1.0488096,0.4693019693297209,1.2943914,1.0488096,0.0878251484221626,2.1222112,1.0488096,0.2947193634957352,1.6749824,0.00069897744
Cnnm3,-0.46860826,0.9981504476998344,0.15627085,-0.46860826,0.395643268277881,-1.1417413,-0.46860826,0.7498905323651462,-0.7028102,-0.005251165
Gm38033,,,,,,,,,,
Ankrd23,-21.874842,0.9981504476998344,-0.12376651,-21.874842,0.024069742772541,-2.6918309,-21.874842,0.6350671523187719,-0.9849094,-0.002583894
Gm42417,,,,,,,,,,
Ankrd39,0.33279553,0.1624112550471866,1.945572,0.33279553,0.2870178215653868,1.3893081,0.33279553,0.6291758955582671,0.99512595,0.013013994
Sema4c,,,,,,,,,,
Fam178b,,,,,,,,,,
Cox5b,1.163231,9.709489525510038e-43,14.121259,1.163231,5.4851856783732605e-73,22.140572,1.163231,1.886284272531716e-24,11.934128,0.048529174
Actr1b,0.43678725,0.0293980660695709,2.6952033,0.43678725,0.0769946880265715,2.1898901,0.43678725,0.3377759239720129,1.5743282,0.004889036
4933424G06Rik,,,,,,,,,,
Gm33533,,,,,,,,,,
