comparison,pathway,NES,padj,pval,leadingEdge_signal,mlog10padj,mlog10pval
P0,2017_IMMUNITY_WOLSKI_curated_human---all.up_early,-1.3948372931066606,0.28284004407051283,0.11037660256410256,44,0.5484591037587718,0.9571229778225825
P0,2017_IMMUNITY_WOLSKI_curated_human---AM01,1.3048139168764439,0.341332027424094,0.14614086883171656,41,0.466822959652882,0.8352283150303627
P0,2017_IMMUNITY_WOLSKI_curated_human---escape:resolver.up_late,1.3297405118956382,0.341332027424094,0.1607316598560031,33,0.466822959652882,0.7938985703647907
P0,2017_IMMUNITY_WOLSKI_curated_human---resolver.up_late,1.2629230435846348,0.341332027424094,0.16719492868462757,50,0.466822959652882,0.7767768996104228
P0,2017_IMMUNITY_WOLSKI_curated_human---all.down_late,-1.2795073988181414,0.341332027424094,0.17727888523321075,49,0.466822959652882,0.7513429878778113
P0,2017_IMMUNITY_WOLSKI_curated_human---AM08,-1.270580760973859,0.341332027424094,0.17943548387096775,84,0.466822959652882,0.7460916698452846
P0,2017_IMMUNITY_WOLSKI_curated_human---CM03,-1.2619687516508022,0.341332027424094,0.18835616438356165,41,0.466822959652882,0.7250201619541744
P0,2017_IMMUNITY_WOLSKI_curated_human---progressor_DEG_pepstim_up,-1.2212844156491725,0.341332027424094,0.20403669724770643,25,0.466822959652882,0.6902917150306038
P0,2017_IMMUNITY_WOLSKI_curated_human---chronic.up_early,-1.2825375959412622,0.341332027424094,0.20633946830265848,44,0.466822959652882,0.6854176928867097
P0,2017_IMMUNITY_WOLSKI_curated_human---chronic:escape.up_early,-1.249600964747987,0.341332027424094,0.21201970443349755,31,0.466822959652882,0.6736237752548802
P0,2017_IMMUNITY_WOLSKI_curated_human---resolver.up_early,1.263920329827395,0.341332027424094,0.2170035671819263,28,0.466822959652882,0.6635331270054187
P0,2017_IMMUNITY_WOLSKI_curated_human---AM12,-1.2349018342876037,0.341332027424094,0.2292893600314095,38,0.466822959652882,0.6396160978512156
P0,2017_IMMUNITY_WOLSKI_curated_human---chronic:escape.up_late,-1.2260411258893265,0.341332027424094,0.23310479921645447,28,0.466822959652882,0.6324487850303983
P0,2017_IMMUNITY_WOLSKI_curated_human---AM09,1.1227128218255291,0.3996180418175731,0.2826566637246249,18,0.39835491262589395,0.5487407714466733
P0,2017_IMMUNITY_WOLSKI_curated_human---all.up_late,1.1542415394723144,0.43751732330231635,0.32013462680657295,14,0.3590047466058754,0.4946673486059484
P0,2017_IMMUNITY_WOLSKI_curated_human---progressor_DEG_pepstim_down,1.1077331899609313,0.4416512321860369,0.33393141945773525,83,0.3549205535643332,0.476342716449796
P0,2017_IMMUNITY_WOLSKI_curated_human---chronic:resolver.up_early,-1.1177782896213722,0.44799786794589913,0.35823564474468506,45,0.34872405283563823,0.4458312036747375
P0,2017_IMMUNITY_WOLSKI_curated_human---chronic.up_late,-1.113849663838294,0.44799786794589913,0.3605836498101139,32,0.34872405283563823,0.4429939696774863
P0,2017_IMMUNITY_WOLSKI_curated_human---AM03,0.895244913522644,0.7227867590454197,0.6123399301513388,41,0.14098981201340433,0.2130074196775032
P0,2017_IMMUNITY_WOLSKI_curated_human---controller_DEG_pepstim_down,-0.8863794989681567,0.7227867590454197,0.6170130869899924,18,0.14098981201340433,0.20970562438286422
P0,2017_IMMUNITY_WOLSKI_curated_human---AM04,0.8717109133118335,0.7461839530332681,0.6551859099804306,31,0.12715409486104212,0.1836354508134903
P0,2017_IMMUNITY_WOLSKI_curated_human---chronic:resolver.up_late,-0.7066296133892075,0.8822219694137914,0.7961515333734215,43,0.05442213146309763,0.09900426411583814
P0,2017_IMMUNITY_WOLSKI_curated_human---CM04,-0.5911386725299845,0.9611299891830469,0.8908034046086776,32,0.017217871678836812,0.05021813178176218
P0,2017_IMMUNITY_WOLSKI_curated_human---all.down_early,-0.5617050937816677,0.9633423790140208,0.9201637666325486,31,0.01621933396578222,0.036134871985544305
P0,2017_IMMUNITY_WOLSKI_curated_human---CM06,0.6591692622368633,0.9633423790140208,0.939846223428313,26,0.01621933396578222,0.026943199357555278
P0,2017_IMMUNITY_WOLSKI_curated_human---escape.up_late,0.5118356400736037,0.9659685863874345,0.9659685863874345,36,0.015036996752648368,0.015036996752648368
P1,2017_IMMUNITY_WOLSKI_curated_human---CM05,-1.791357468398232,9.965969859017986e-4,1.0713520462824084e-4,36,3.0014804306389697,3.970067796549137
P1,2017_IMMUNITY_WOLSKI_curated_human---CM02,-2.0381630621315616,9.965969859017986e-4,1.1319900384876613e-4,42,3.0014804306389697,3.9461573949223725
P1,2017_IMMUNITY_WOLSKI_curated_human---AM10,-1.926837777266695,9.965969859017986e-4,1.1547344110854503e-4,51,3.0014804306389697,3.937517892017347
