gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Gm5698,,,,,,,,,,
4931428L18Rik,,,,,,,,,,
Lgsn,,,,,,,,,,
Pih1d3,,,,,,,,,,
Khdrbs2,,,,,,,,,,
Gm5415,,,,,,,,,,
Prim2,0.26652935,0.008269648649100687,3.078593,0.26652935,0.02048149347409041,2.6594799,0.26652935,0.1461569793324044,1.9595331,0.014150075
Rab23,0.12006867,0.7135002906664657,0.99269694,0.12006867,0.6494707919090794,0.6080545,0.12006867,0.8258093335937688,0.41722038,0.005955834
Bag2,0.35250834,0.742168903952345,0.9566587,0.35250834,0.10345874260087633,1.9530478,0.35250834,0.3229709528846163,1.488832,-0.013815419
Zfp451,-0.23526815,1.0,-0.101005964,-0.23526815,0.04884525556638321,-2.3047984,-0.23526815,0.28603139062425165,-1.5705507,0.016865885
Bend6,0.99689007,1.0,0.0847248,0.99689007,0.5468757358300045,0.7856532,0.99689007,0.7338318367780863,0.69467646,0.0061359475
Dst,-2.917357,1.0,-0.24843636,-2.917357,0.0002040348520467265,-4.0495224,-2.917357,0.23649055588235143,-1.6904277,-0.006089143
Ccdc115,0.28044656,5.303384256374763e-07,5.3756657,0.28044656,0.000903207285273424,3.6665847,0.28044656,0.03705923845735957,2.587,-0.0043643466
Imp4,0.35519537,7.511374802721716e-09,6.124921,0.35519537,1.4967803176108468e-07,5.608861,0.35519537,0.0004231163549329181,3.9941206,0.03158344
Ptpn18,-0.51433367,1.1419983546272543e-37,-13.112686,-0.51433367,1.9973156908430163e-43,-14.70458,-0.51433367,4.009620273976876e-21,-9.944736,0.0336261
Prss39,-18.766472,1.0,-0.03992683,-18.766472,0.07341810873798561,-2.1170185,-18.766472,0.7224518844617678,-0.71851563,-0.00024838487
Cfc1,,,,,,,,,,
Prss40,,,,,,,,,,
Amer3,,,,,,,,,,
Arhgef4,-0.70372653,1.0,-0.060435154,-0.70372653,0.02617457270550729,-2.563875,-0.70372653,0.3067216375687909,-1.5241804,-0.002745991
Arhgef4,-0.70372653,1.0,-0.060435154,-0.70372653,0.02617457270550729,-2.563875,-0.70372653,0.3067216375687909,-1.5241804,-0.002745991
Fam168b,0.13561052,0.004206557504132044,3.2902894,0.13561052,0.13795655313183175,1.8004059,0.13561052,0.4293444122703321,1.2786794,-0.0007628859
Plekhb2,0.5406157,6.27644040174156e-14,7.8275824,0.5406157,9.117739793219224e-11,6.8599076,0.5406157,4.984471091341387e-06,5.020104,0.059794605
Hs6st1,-1.1620097,0.9537310443613178,-0.70579505,-1.1620097,2.1820113478787245e-06,-5.0745444,-1.1620097,0.028901230604124764,-2.6880379,-0.010012932
Uggt1,0.14178135,0.0013474969874404665,3.6174815,0.14178135,0.1319573543158276,1.824193,0.14178135,0.427701781258649,1.2814225,-0.035428096
Neurl3,-1.0556922,0.0004352162570533602,-3.9166603,-1.0556922,1.3025838422510215e-22,-10.235258,-1.0556922,2.8663328217033467e-08,-6.0000277,-0.052954752
Arid5a,-0.7196081,0.0008441137459207856,-3.7444777,-0.7196081,1.2090273884613394e-16,-8.686442,-0.7196081,6.299567731650552e-07,-5.432272,-0.038480815
Kansl3,-0.37634224,0.7753720755858945,-0.9160054,-0.37634224,0.00032195568364851027,-3.9437532,-0.37634224,0.03725183926254843,-2.5847874,-0.029495168
Fer1l5,,,,,,,,,,
Lman2l,-0.14665666,1.0,0.31633508,-0.14665666,0.47871570032231275,-0.9102086,-0.14665666,0.7686002616549172,-0.60671085,0.0054729194
Cnnm4,0.18742907,0.7723628268524446,0.9199931,0.18742907,0.42219743695645967,1.0401667,0.18742907,0.7107436135133223,0.7441143,-0.0026650927
